epoch,frame,loss,loss0,loss1,loss2,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,0.06120112105006809,0.24738860331484167,0.0,0.0,20.584660053253174,596.953125,1.2449175773624972,0.5912135974114118,0.6840065095238977,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001071673716546,0.35285437863533864,0.4817041834853078,0.0,0.0,0.0
1,1,0.05965813077899372,0.24333226528279972,0.0020537784634433913,0.021055199960057138,20.83402442932129,601.23046875,1.2434443233205759,0.5902302324746803,0.6824373832654014,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001978841207153,0.35270199131059116,0.4814845988186405,0.0,0.0,0.0
2,1,0.05952502050569755,0.24295701333713604,0.00217765410314973,0.02218485967057928,20.98787498474121,602.00390625,1.2432138438185398,0.590142019060223,0.6823061193565421,0.8936175916911077,0.07989938084702437,0.15826444983843846,2.0001626415314893,0.3526858393443023,0.4814671868698478,0.0,0.0,0.0
3,1,0.05942526770230025,0.2428392051145601,0.0020779477797376747,0.021214860231769987,21.09995126724243,602.51953125,1.2431490924470683,0.5901700294272034,0.6823495162965144,0.8935957214842589,0.07989541580313762,0.15825854179166654,2.0001159635229464,0.3526885254348237,0.48147501901443684,0.0,0.0,0.0
4,1,0.05858843102045465,0.24064465781061617,0.003553741724413506,0.025806018821628713,21.204157829284668,603.03515625,1.240537549446131,0.5896248814007986,0.6815502269368311,0.8932023248258267,0.07984822700957905,0.158161742351553,1.9997227842674208,0.3526381021809399,0.4813957862516923,0.0,0.0,0.0
5,1,0.05816241567524545,0.23901974443833252,0.005187773620137088,0.03170275143809864,21.35226559638977,603.55078125,1.2383455661037006,0.5891320401947571,0.6807406648965381,0.8928601812922011,0.07978694949407317,0.15806888020374613,2.0004883821107775,0.3525821881115292,0.4813102750316351,0.0,0.0,0.0
6,1,0.057941653846348126,0.23782848424238218,0.005646544955615609,0.036706708642744314,21.463358402252197,604.06640625,1.2369694468682797,0.5887351479313726,0.6801468719270112,0.8926511693533699,0.07976378482993315,0.15802087452095032,2.0009566953830187,0.35253911409386696,0.48124743798842656,0.0,0.0,0.0
7,1,0.057616724488366994,0.2359657832784627,0.008577677152313442,0.043165924811351356,21.58046293258667,604.58203125,1.2342259492087693,0.5880801244382879,0.6791802877172736,0.8920873482018614,0.07967358258296203,0.15787488849741288,2.0019889377331035,0.3524865661549298,0.48117063971735835,0.0,0.0,0.0
8,1,0.0573554146558929,0.2334269308503827,0.014782073933029109,0.051466230675094246,21.693049907684326,605.09765625,1.229230865131659,0.5870489191635274,0.6776610588222732,0.8910516527251429,0.07958225741580394,0.1576551937262754,2.00396752334598,0.3524278142191158,0.4810850339399142,0.0,0.0,0.0
9,1,0.057023599452847684,0.23339642345963127,0.010690983953364536,0.049349891906761735,21.803061723709106,605.61328125,1.2284346619897728,0.5869967229944274,0.6776017206794189,0.8907182177507785,0.07950695991611022,0.1575612213090955,2.0043618220815804,0.3524499471854546,0.4811174248617484,0.0,0.0,0.0
10,1,0.05677663401066571,0.23350382542024448,0.012121116947131796,0.045887645927108214,21.91134476661682,606.12890625,1.2268940804075747,0.5868910257997141,0.6774731740123006,0.8901448999855104,0.07941037120781629,0.15741677825694167,2.0051086351453886,0.35249193433237347,0.48117941909847173,0.0,0.0,0.0
11,1,0.056575947319145246,0.23318171474128407,0.014237734472149412,0.04471601666696434,22.020893335342407,606.64453125,1.2247153269163216,0.5865976703875052,0.6770691305114177,0.8893739047678281,0.07931311969521986,0.1572500544966869,2.006029722422446,0.35252122686917725,0.4812269029861323,0.0,0.0,0.0
12,1,0.056218991596468,0.2322875680218959,0.01755728489962338,0.04419523827172499,22.137192010879517,607.16015625,1.2188859378643542,0.585702566844404,0.6758266770936407,0.8874449228118426,0.07905151791593622,0.1568037814813837,2.008449211012775,0.3525857727326085,0.48133910242916184,0.0,0.0,0.0
13,1,0.055899256218230504,0.23094350785243237,0.018975355952389143,0.0469498484078931,22.261564254760742,607.67578125,1.2153227630847463,0.5850076928398764,0.6748442894204513,0.8862029960739322,0.07890432658423749,0.15655084071746667,2.009715029552671,0.35260150290154646,0.4813793302156884,0.0,0.0,0.0
14,1,0.055624015077708824,0.22941099376291593,0.02034745446914586,0.050799528689213364,22.376014471054077,608.19140625,1.2120885810249031,0.584289901663379,0.6738271916478887,0.8850742947577525,0.07876529727782325,0.1563169982745365,2.010674990778592,0.3526077692295515,0.4814089911798723,0.0,0.0,0.0
15,1,0.05528179677677368,0.22809425709089862,0.021626596592971392,0.05279296334483988,22.505218267440796,608.70703125,1.2082467185000116,0.5835077753382415,0.6727412337777374,0.8835342724010123,0.07856982025292931,0.15600211508361575,2.0115964944805755,0.3526526093694203,0.48149933491277497,0.0,0.0,0.0
16,1,0.05480024297389955,0.22591561410609354,0.02394988756172675,0.05646929398130301,22.629389762878418,609.22265625,1.1995688016788313,0.5817187773950203,0.6702782587169069,0.8798428619165454,0.07808692200495941,0.15526878976696648,2.012936144574146,0.35278374317287403,0.4817420017363615,0.0,0.0,0.0
17,1,0.054545277707868545,0.22432974690857518,0.02683282405880909,0.05917298296378288,22.749716997146606,609.73828125,1.1911938300240863,0.5800168756347102,0.6679619438027193,0.8761324271490288,0.07762545104480306,0.15454158007420088,2.0139497725370865,0.3529408978934147,0.48200778922068294,0.0,0.0,0.0
18,1,0.05428045179203489,0.22448810686664847,0.025395760432230158,0.05692624192349157,22.87321901321411,610.25390625,1.193293900840586,0.5804457460667757,0.6685578764907552,0.8769249321739949,0.07773019048189002,0.15470718266273617,2.0132723662382257,0.3529215264000242,0.48196264236481595,0.0,0.0,0.0
19,1,0.05410549092503058,0.22449613721499398,0.024606374099643422,0.055691127248831726,23.0115008354187,610.76953125,1.193096867251184,0.5803982692456686,0.6685055755345145,0.8767157381472488,0.07771217433207885,0.15468200418630004,2.0127352000227465,0.35294429971505026,0.48198167897166194,0.0,0.0,0.0
20,1,0.053877838331672305,0.2240044937654022,0.02425963181457317,0.05577898680327155,23.125877380371094,611.28515625,1.1905666039023108,0.5798489909099741,0.6677660040908272,0.8755597375326005,0.07757768271205338,0.15447859864293859,2.012245074253212,0.352999472125553,0.4820431360238942,0.0,0.0,0.0
21,1,0.05337414968671605,0.22233017467108981,0.024477646571457592,0.05782981874225049,23.237298011779785,611.80078125,1.1826271534263508,0.5781501770290826,0.6654703547618962,0.8722180975253904,0.07720810485676886,0.15387031027563064,2.0113327981556033,0.3531328797427311,0.48217271926737976,0.0,0.0,0.0
22,1,0.05317089900489185,0.22145243711090593,0.025184681902890457,0.05912232150366169,23.36211323738098,612.31640625,1.1780811708873014,0.5771684404196479,0.6641487172282207,0.8704250976226231,0.07696328934471462,0.15354652566908744,2.010587743977725,0.3531995243869759,0.48220572274902446,0.0,0.0,0.0
23,1,0.05280117598335468,0.21965625565829952,0.025207505170978237,0.06258503828061107,23.476278066635132,612.83203125,1.16947854014037,0.5753348553100313,0.6616844031437188,0.8669765979064139,0.07658262017108014,0.152907665971551,2.00999121110117,0.3533258431211408,0.482295241608713,0.0,0.0,0.0
24,1,0.05255493571050759,0.21822606688505622,0.025937823696614955,0.0652652184878736,23.58925700187683,613.34765625,1.162888599832927,0.5739529203233633,0.6598379773422536,0.8644417495130441,0.07633415554334702,0.15242960713577966,2.009590650196096,0.3533938902040997,0.48230842622135,0.0,0.0,0.0
25,1,0.05225368351545499,0.21684229744317626,0.02593782069479182,0.06753022295702042,23.783632516860962,613.86328125,1.1554282524767243,0.5723959367834291,0.6577779387749317,0.8617682100168147,0.07603840201722692,0.15193051195713903,2.0085219823425544,0.3534177766275522,0.4822023297702257,0.0,0.0,0.0
