epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,18.64616907510832,0.006692850924284864,0.0,0.0,4.1917913940410765,1.0368264993228102,14.695589065551758,638.97265625,1.2449175773624972,0.5912135974114118,0.6840065095238977,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001071673716546,0.35285437863533864,0.4817041834853078,0.9933071490757152,0.06865484236544515,0.24577285242517735
1,1,8.895827941083528,1.1915134831000869,0.9214765770446346,1.095760528175517,2.230673410698914,0.6711255309744344,15.027875661849976,644.88671875,1.2645955039609087,0.4997084361016179,0.5932766868471474,0.8471195912116173,0.06681580884274248,0.1315341888438303,2.00005441502493,0.3528136243999131,0.48165625695178266,0.9933071542075916,0.06865483936584803,0.24577285351743902
2,1,7.157227823489082,1.3184363509709343,0.4698939941736314,1.083990842265044,1.8995668283118539,0.6440207798121464,15.15156602859497,645.91796875,1.308037365472736,0.47949247940068784,0.5789207570804666,0.8441840770609833,0.06486592557179396,0.1298066150458806,2.001716146635428,0.35302901606418013,0.4815582917882329,0.9933070744274193,0.06865489502155775,0.2457728276010358
3,1,6.550627868606956,1.2523842471706035,0.4295400408777756,1.0715071376603058,1.7999871922755608,0.639980844178603,15.251935720443726,646.69140625,1.3123957387112357,0.4735981804912393,0.5732247022840721,0.8434779521918891,0.0645957209692659,0.12944713361172677,2.0037257218737996,0.35327278927410694,0.4814657560578589,0.9933069939376582,0.06865494899986938,0.2457727981450032
4,1,5.909204077224211,1.1769228965983567,0.3711676787271776,1.0927909237670974,1.6709925620562567,0.6323630139721522,15.356310367584229,647.46484375,1.3049625825984472,0.46376650651873536,0.5635067205726249,0.8404424667348329,0.06449350877501647,0.12841543233127697,2.0084566450115666,0.35383566312614195,0.48131320896301905,0.9933068311086933,0.06865506035845603,0.24577273520814344
5,1,5.117325002275234,1.0741573962912947,0.39214319930723,1.0970349595007454,1.4977452762147045,0.6025014412553442,15.456913948059082,647.98046875,1.2766183006110923,0.4475300313189154,0.546880900433492,0.8298669441709623,0.06254310966549965,0.12487988859090629,2.0188662768723282,0.3550300203251825,0.48112910238265927,0.9933065118352193,0.06865527724409534,0.2457726131262842
6,1,4.44898892163801,1.119984662895938,0.628708655764736,1.0231282320748951,1.2117553517925221,0.5331100175534711,15.555018663406372,648.75390625,1.2099340648424044,0.41612511176805755,0.5148317086990016,0.8083330002245455,0.056677539578897464,0.11688459944552441,2.0421412708810314,0.3576575972937504,0.4810510822487564,0.9933058242890377,0.06865575342856735,0.24577235274318088
7,1,3.8451787921703984,1.1291880990626038,0.4646096326418037,0.9553556610096227,1.0935259883858055,0.4957291519206266,15.657373666763306,649.52734375,1.164562202627232,0.4001835703159028,0.4978378493641286,0.7872311941188934,0.05334586332877661,0.11247029208447484,2.0560036748408583,0.35919570074487955,0.4811585372934542,0.9933053683743578,0.06865605834125031,0.2457721909425316
8,1,3.55140270549307,1.0201947044119712,0.3909815980097934,0.9202090260741576,1.1232875301982996,0.49917865883188917,15.76645302772522,650.04296875,1.155435815954743,0.4016574299455717,0.49806430692139525,0.7876479388135016,0.05335081461906469,0.11272417731902916,2.056335240853847,0.35907241560032316,0.48088449839298,0.9933053251843963,0.06865608801663389,0.24577217926043382
9,1,3.233800017807205,0.9625510328735831,0.39220569938455124,0.8724978458151708,1.0752730389607956,0.4858040932550695,15.868557929992676,650.81640625,1.1292473941113206,0.39360680694716726,0.48867863130762407,0.7786909911050703,0.05242477672361678,0.11099799853739221,2.063620570258727,0.3595215779317975,0.48029190101032027,0.9933050094819392,0.06865630543813404,0.24577207147943364
10,1,2.9503601378702213,0.9788922224963219,0.41055995933443257,0.8175642855884392,0.9701032855756835,0.4626650285501064,15.97187852859497,651.58984375,1.0950195219698617,0.3781811623062963,0.47231876395089983,0.7630650834627873,0.050975300651825525,0.10819461556245855,2.074941214341893,0.3601187711042706,0.479136930439986,0.9933044457922362,0.06865668990167162,0.2457718823449387
11,1,2.806664304194886,1.0447282277172576,0.4301544859665342,0.7478189333138756,0.8838675732099615,0.4355678002489869,16.070366382598877,652.10546875,1.0572299457344565,0.3607211035287004,0.4531735776650372,0.7391178233698753,0.05046529087948305,0.10505198347208455,2.0853924917197975,0.35959662791438773,0.4760081304431177,0.9933035432322933,0.06865729239713834,0.2457716013363697
12,1,2.596364316168148,0.998188062162586,0.44123590716680927,0.7358913400503653,0.8268841463727011,0.4242903805971794,16.17054319381714,652.87890625,1.050280547391197,0.3529685312269614,0.4459770266904094,0.7316895047162626,0.050426279559120164,0.10392521327960247,2.0888711184703004,0.3594979344585497,0.47509209644957534,0.9933032231248651,0.06865750115301045,0.2457715024875843
13,1,2.4867579517752763,0.9683193009817127,0.44701793628504727,0.7336396491218247,0.7979173671855124,0.4176019493981883,16.270216703414917,653.65234375,1.0512191096095755,0.34896092413054913,0.44198614927562924,0.7265038443614413,0.050415068169201924,0.10323242604542314,2.0887126457608014,0.358776600589966,0.4736905775843018,0.9933029525206951,0.06865766976133368,0.24577142800415747
14,1,2.315962788439478,0.9368378739341202,0.4624937392791223,0.6999334601706827,0.7555838719315283,0.4044543130443112,16.37126851081848,654.42578125,1.0477849055084183,0.3392415255865028,0.43128429965749626,0.7107551492820864,0.050672205314990545,0.10173539379193158,2.0877590667581294,0.3563635682278796,0.4692872973982584,0.9933021195610229,0.06865818425083767,0.24577120288329787
