epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,loss5,loss6,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,156.61137,0.006692851,0.0,0.0,0.0,11.956545,2.3913388,2.8167102,56.58986568450928,2599.5859375,1.070335,0.14713751,0.23012253246921854,0.5169654,0.022219574,0.046507840384672504,0.51698405,0.0222211,0.04650792799425387,0.8992307,0.059005648,0.093122883258995,0.9933072,0.023217568,0.12627962165043216
1,1,156.61137,0.006692851,0.0,0.0,0.0,11.956545,2.3913388,2.8167102,57.50383019447327,2614.60546875,1.070335,0.14713751,0.23012253246921854,0.5169654,0.022219574,0.046507840384672504,0.51698405,0.0222211,0.04650792799425387,0.8992307,0.059005648,0.093122883258995,0.9933072,0.023217568,0.12627962165043216
2,1,132.06912,0.051347423,0.03490156,0.04198053,0.05603976,10.969006,2.222566,2.6079636,58.34532332420349,2616.046875,1.0823214,0.14309429,0.22484615119198012,0.5151877,0.021488389,0.04567818603132479,0.51352763,0.021292575,0.045413030000220754,0.8992305,0.05900556,0.09312281825242909,0.9933072,0.023217568,0.12627962165043216
3,1,132.06912,0.051347423,0.03490156,0.04198053,0.05603976,10.969006,2.222566,2.6079636,58.90264010429382,2744.703125,1.0823214,0.14309429,0.22484615119198012,0.5151877,0.021488389,0.04567818603132479,0.51352763,0.021292575,0.045413030000220754,0.8992305,0.05900556,0.09312281825242909,0.9933072,0.023217568,0.12627962165043216
4,1,8.676294,0.61874217,0.30437216,0.31751114,0.53750527,2.6253421,0.59119385,0.7544222,60.02247071266174,2745.21875,1.1331819,0.10811938,0.17922520254237825,0.4912229,0.016237142,0.03800222783161681,0.47571087,0.015742505,0.036607011630636364,0.89956814,0.058999687,0.09306524962500069,0.9933072,0.02321757,0.12627962165043216
5,1,8.676294,0.61874217,0.30437216,0.31751114,0.53750527,2.6253421,0.59119385,0.7544222,60.49334001541138,2745.21875,1.1331819,0.10811938,0.17922520254237825,0.4912229,0.016237142,0.03800222783161681,0.47571087,0.015742505,0.036607011630636364,0.89956814,0.058999687,0.09306524962500069,0.9933072,0.02321757,0.12627962165043216
6,1,3.9119396,0.43255877,0.24717446,0.25800857,0.45499682,1.720154,0.41148356,0.51175964,61.43524217605591,2745.21875,1.1542873,0.103994474,0.17901827748782362,0.49333328,0.01617312,0.03784791220197415,0.47068995,0.015291096,0.03593760838958732,0.8998855,0.05898452,0.09299598903876842,0.9933071,0.023217574,0.12627961427534987
7,1,3.9119396,0.43255877,0.24717446,0.25800857,0.45499682,1.720154,0.41148356,0.51175964,61.90493154525757,2745.21875,1.1542873,0.103994474,0.17901827748782362,0.49333328,0.01617312,0.03784791220197415,0.47068995,0.015291096,0.03593760838958732,0.8998855,0.05898452,0.09299598903876842,0.9933071,0.023217574,0.12627961427534987
8,1,1.0968301,0.42626062,0.18643562,0.18600266,0.40327036,0.7792578,0.17317213,0.21428634,63.04398775100708,2745.21875,1.1279982,0.10146794,0.17424278414239736,0.4865636,0.015419143,0.03726154111581298,0.46751133,0.014647684,0.03531544787521407,0.900479,0.05895425,0.09286918718404677,0.9933071,0.023217576,0.12627961427534987
9,1,1.0968301,0.42626062,0.18643562,0.18600266,0.40327036,0.7792578,0.17317213,0.21428634,63.52688431739807,2745.21875,1.1279982,0.10146794,0.17424278414239736,0.4865636,0.015419143,0.03726154111581298,0.46751133,0.014647684,0.03531544787521407,0.900479,0.05895425,0.09286918718404677,0.9933071,0.023217576,0.12627961427534987
10,1,0.56124353,0.44282022,0.15465231,0.16992706,0.39413595,0.35510164,0.12423732,0.124442786,64.64558386802673,2745.55078125,1.1367513,0.10125671,0.17453497319190445,0.48673898,0.015348491,0.037166117590982324,0.46374616,0.014543683,0.03506310860244626,0.9011893,0.05892353,0.09273162702748727,0.9933071,0.023217581,0.12627960690026713
11,1,0.56124353,0.44282022,0.15465231,0.16992706,0.39413595,0.35510164,0.12423732,0.124442786,65.11710333824158,2745.55078125,1.1367513,0.10125671,0.17453497319190445,0.48673898,0.015348491,0.037166117590982324,0.46374616,0.014543683,0.03506310860244626,0.9011893,0.05892353,0.09273162702748727,0.9933071,0.023217581,0.12627960690026713
12,1,0.42262697,0.42682815,0.14705315,0.16308975,0.38414097,0.17873782,0.07094662,0.08761762,66.06670713424683,2745.55078125,1.1360592,0.10193618,0.17465834645603218,0.485134,0.015338769,0.0371435409672244,0.46533537,0.014467191,0.034978817850748044,0.9017024,0.058902957,0.09263326696776791,0.99330705,0.023217583,0.12627960690026713
13,1,0.42262697,0.42682815,0.14705315,0.16308975,0.38414097,0.17873782,0.07094662,0.08761762,66.53644800186157,2745.55078125,1.1360592,0.10193618,0.17465834645603218,0.485134,0.015338769,0.0371435409672244,0.46533537,0.014467191,0.034978817850748044,0.9017024,0.058902957,0.09263326696776791,0.99330705,0.023217583,0.12627960690026713
14,1,0.38134634,0.42270523,0.13980317,0.1592595,0.37739226,0.090215035,0.047493976,0.07027616,67.66291284561157,2745.55078125,1.1323496,0.10196529,0.17428156827829513,0.48531827,0.015274408,0.037134710873530506,0.462703,0.014443185,0.034942996760248014,0.90234953,0.058880974,0.09251644780064187,0.99330705,0.023217583,0.12627960690026713
15,1,0.38134634,0.42270523,0.13980317,0.1592595,0.37739226,0.090215035,0.047493976,0.07027616,68.24711775779724,2745.55078125,1.1323496,0.10196529,0.17428156827829513,0.48531827,0.015274408,0.037134710873530506,0.462703,0.014443185,0.034942996760248014,0.90234953,0.058880974,0.09251644780064187,0.99330705,0.023217583,0.12627960690026713
16,1,0.36408973,0.4200116,0.1338699,0.15147619,0.3695275,0.07683024,0.038158905,0.053890828,69.41004133224487,2745.55078125,1.1300626,0.10174515,0.17398573127632477,0.48564142,0.01523247,0.03713461525754742,0.46460947,0.014417844,0.03500246812535115,0.90297735,0.058861185,0.09240593147126179,0.99330705,0.023217585,0.12627959952518397
17,1,0.36408973,0.4200116,0.1338699,0.15147619,0.3695275,0.07683024,0.038158905,0.053890828,69.92300128936768,2745.55078125,1.1300626,0.10174515,0.17398573127632477,0.48564142,0.01523247,0.03713461525754742,0.46460947,0.014417844,0.03500246812535115,0.90297735,0.058861185,0.09240593147126179,0.99330705,0.023217585,0.12627959952518397
18,1,0.3444305,0.4128985,0.12424505,0.14210787,0.35727733,0.090661995,0.027750785,0.040952098,71.0591492652893,2745.55078125,1.1240737,0.1015021,0.17328520974982886,0.48591226,0.015256717,0.03718237222451804,0.464054,0.014407084,0.03505949607633637,0.9044098,0.058818553,0.09216136804457517,0.993307,0.023217607,0.12627959952518397
19,1,0.3444305,0.4128985,0.12424505,0.14210787,0.35727733,0.090661995,0.027750785,0.040952098,71.52714562416077,2745.55078125,1.1240737,0.1015021,0.17328520974982886,0.48591226,0.015256717,0.03718237222451804,0.464054,0.014407084,0.03505949607633637,0.9044098,0.058818553,0.09216136804457517,0.993307,0.023217607,0.12627959952518397
20,1,0.32340533,0.40206015,0.1146667,0.13351867,0.3424004,0.103813976,0.03724144,0.03708071,72.64857721328735,2745.55078125,1.1176268,0.10136413,0.17240018152437037,0.4862243,0.0153975785,0.037307564514624636,0.4638373,0.014416407,0.035091788083169484,0.9068798,0.05875354,0.09175877084633524,0.99330693,0.02321762,0.12627958477501636
21,1,0.32340533,0.40206015,0.1146667,0.13351867,0.3424004,0.103813976,0.03724144,0.03708071,73.12656235694885,2745.55078125,1.1176268,0.10136413,0.17240018152437037,0.4862243,0.0153975785,0.037307564514624636,0.4638373,0.014416407,0.035091788083169484,0.9068798,0.05875354,0.09175877084633524,0.99330693,0.02321762,0.12627958477501636
22,1,0.30004486,0.38889065,0.114325196,0.12935151,0.32973936,0.08578682,0.037584174,0.038818028,74.3108594417572,2745.55078125,1.1064801,0.10100615,0.17112088576122697,0.48671022,0.015524679,0.037337076708652626,0.46337938,0.014600586,0.03520294571871933,0.91041154,0.05868374,0.0912208849855388,0.9933068,0.023217658,0.12627956264976173
23,1,0.30004486,0.38889065,0.114325196,0.12935151,0.32973936,0.08578682,0.037584174,0.038818028,74.80187320709229,2745.55078125,1.1064801,0.10100615,0.17112088576122697,0.48671022,0.015524679,0.037337076708652626,0.46337938,0.014600586,0.03520294571871933,0.91041154,0.05868374,0.0912208849855388,0.9933068,0.023217658,0.12627956264976173
24,1,0.2875206,0.37976626,0.11517609,0.13054004,0.32317573,0.07143313,0.052127846,0.027006775,75.93472170829773,2745.55078125,1.0987512,0.100673944,0.17020966833303905,0.4870367,0.015585249,0.037362410851274425,0.46277195,0.014628165,0.03518324219775908,0.91286224,0.05865446,0.09087826305352814,0.99330676,0.02321767,0.126279555274676
25,1,0.2875206,0.37976626,0.11517609,0.13054004,0.32317573,0.07143313,0.052127846,0.027006775,76.42089748382568,2745.55078125,1.0987512,0.100673944,0.17020966833303905,0.4870367,0.015585249,0.037362410851274425,0.46277195,0.014628165,0.03518324219775908,0.91286224,0.05865446,0.09087826305352814,0.99330676,0.02321767,0.126279555274676
26,1,0.27517736,0.37116945,0.11774734,0.13203724,0.3163184,0.059106003,0.039830886,0.03122499,77.56250047683716,2745.55078125,1.0920054,0.100399025,0.169214871521494,0.48659328,0.015535098,0.03734825134581254,0.46201,0.014638927,0.03519205912150514,0.91567683,0.05863709,0.09051088720572444,0.9933067,0.023217702,0.12627954052450321
27,1,0.27517736,0.37116945,0.11774734,0.13203724,0.3163184,0.059106003,0.039830886,0.03122499,78.0614128112793,2745.55078125,1.0920054,0.100399025,0.169214871521494,0.48659328,0.015535098,0.03734825134581254,0.46201,0.014638927,0.03519205912150514,0.91567683,0.05863709,0.09051088720572444,0.9933067,0.023217702,0.12627954052450321
28,1,0.26616988,0.36414087,0.11994007,0.13226824,0.30948249,0.061903656,0.038377445,0.024626821,79.21717429161072,2745.55078125,1.0859865,0.100156896,0.16831548521423798,0.48794818,0.0155391665,0.03738806722246024,0.46205378,0.014610559,0.03522569863295897,0.918087,0.058636993,0.0902184313357876,0.9933066,0.02321772,0.12627952577432872
29,1,0.26616988,0.36414087,0.11994007,0.13226824,0.30948249,0.061903656,0.038377445,0.024626821,79.70437788963318,2745.55078125,1.0859865,0.100156896,0.16831548521423798,0.48794818,0.0155391665,0.03738806722246024,0.46205378,0.014610559,0.03522569863295897,0.918087,0.058636993,0.0902184313357876,0.9933066,0.02321772,0.12627952577432872
30,1,0.25174516,0.3533728,0.11733289,0.13154276,0.29452503,0.081595026,0.038814705,0.029882703,80.85227799415588,2745.55078125,1.0751061,0.09953875,0.16673185456996387,0.48677024,0.015319927,0.03732496304770491,0.46178865,0.014399899,0.035173996115423205,0.92244256,0.05866951,0.0897345605024984,0.99330646,0.023217758,0.12627949627397456
31,1,0.25174516,0.3533728,0.11733289,0.13154276,0.29452503,0.081595026,0.038814705,0.029882703,81.33831810951233,2745.55078125,1.0751061,0.09953875,0.16673185456996387,0.48677024,0.015319927,0.03732496304770491,0.46178865,0.014399899,0.035173996115423205,0.92244256,0.05866951,0.0897345605024984,0.99330646,0.023217758,0.12627949627397456
32,1,0.23532169,0.34323144,0.117525935,0.13109936,0.2758184,0.07928813,0.03620983,0.05330013,82.49066495895386,2745.55078125,1.0613284,0.09896972,0.16476694505360795,0.48726764,0.015047998,0.03727122198815199,0.46110883,0.014184883,0.035118445295928,0.92786855,0.058749903,0.08920004621889965,0.9933063,0.023217808,0.12627945939852217
33,1,0.23532169,0.34323144,0.117525935,0.13109936,0.2758184,0.07928813,0.03620983,0.05330013,82.99409461021423,2745.55078125,1.0613284,0.09896972,0.16476694505360795,0.48726764,0.015047998,0.03727122198815199,0.46110883,0.014184883,0.035118445295928,0.92786855,0.058749903,0.08920004621889965,0.9933063,0.023217808,0.12627945939852217
34,1,0.22257495,0.3386522,0.118489966,0.13180438,0.26361197,0.06882254,0.025690079,0.039869487,84.14994192123413,2745.55078125,1.0505672,0.09844525,0.16317620320594667,0.48659652,0.014849817,0.03719351352727213,0.46131784,0.014154379,0.035181776356105685,0.93228185,0.058835708,0.08881574231570834,0.99330616,0.02321784,0.12627943727324556
35,1,0.22257495,0.3386522,0.118489966,0.13180438,0.26361197,0.06882254,0.025690079,0.039869487,84.63726425170898,2745.55078125,1.0505672,0.09844525,0.16317620320594667,0.48659652,0.014849817,0.03719351352727213,0.46131784,0.014154379,0.035181776356105685,0.93228185,0.058835708,0.08881574231570834,0.99330616,0.02321784,0.12627943727324556
36,1,0.20989501,0.33629975,0.11665295,0.13063027,0.24799441,0.05337776,0.02882386,0.03072574,85.76604652404785,2745.55078125,1.0385197,0.09780491,0.16149300285068197,0.48630914,0.014685165,0.03711667585080498,0.46012974,0.013968106,0.03506969851160106,0.9367866,0.058940653,0.08846194228582284,0.993306,0.023217883,0.12627940039777594
37,1,0.20989501,0.33629975,0.11665295,0.13063027,0.24799441,0.05337776,0.02882386,0.03072574,86.25310802459717,2745.55078125,1.0385197,0.09780491,0.16149300285068197,0.48630914,0.014685165,0.03711667585080498,0.46012974,0.013968106,0.03506969851160106,0.9367866,0.058940653,0.08846194228582284,0.993306,0.023217883,0.12627940039777594
38,1,0.20244989,0.3347774,0.11551474,0.12754054,0.23840263,0.05522074,0.018353565,0.023274574,87.38200736045837,2745.55078125,1.0311426,0.09750282,0.16041026672894546,0.4859271,0.014618281,0.03711119917100376,0.4601168,0.01389504,0.03506486824598201,0.9393809,0.059008546,0.08826096447248595,0.99330586,0.02321791,0.126279378272489
39,1,0.20244989,0.3347774,0.11551474,0.12754054,0.23840263,0.05522074,0.018353565,0.023274574,87.8827211856842,2745.55078125,1.0311426,0.09750282,0.16041026672894546,0.4859271,0.014618281,0.03711119917100376,0.4601168,0.01389504,0.03506486824598201,0.9393809,0.059008546,0.08826096447248595,0.99330586,0.02321791,0.126279378272489
40,1,0.19441934,0.33408272,0.11356193,0.123659156,0.22642109,0.046157744,0.02307892,0.026276605,89.03640699386597,2745.55078125,1.0232502,0.0969768,0.15918179376062885,0.4851622,0.014418851,0.03700891813789236,0.4597246,0.013768135,0.03504807665134339,0.9420026,0.05908594,0.08804445844327875,0.9933057,0.02321796,0.12627935614719818
41,1,0.19441934,0.33408272,0.11356193,0.123659156,0.22642109,0.046157744,0.02307892,0.026276605,89.50245213508606,2745.55078125,1.0232502,0.0969768,0.15918179376062885,0.4851622,0.014418851,0.03700891813789236,0.4597246,0.013768135,0.03504807665134339,0.9420026,0.05908594,0.08804445844327875,0.9933057,0.02321796,0.12627935614719818
42,1,0.1898014,0.33344904,0.112790905,0.122344986,0.21951279,0.03766127,0.019069117,0.030906714,90.61427783966064,2745.55078125,1.0183554,0.09663288,0.15842252400023865,0.48493478,0.014306633,0.036989270211548124,0.45957997,0.013590415,0.03496176682719303,0.9432294,0.059130386,0.08791992176059722,0.9933056,0.023217987,0.1262793340219035
43,1,0.1898014,0.33344904,0.112790905,0.122344986,0.21951279,0.03766127,0.019069117,0.030906714,91.082937002182,2745.55078125,1.0183554,0.09663288,0.15842252400023865,0.48493478,0.014306633,0.036989270211548124,0.45957997,0.013590415,0.03496176682719303,0.9432294,0.059130386,0.08791992176059722,0.9933056,0.023217987,0.1262793340219035
44,1,0.18612821,0.33282745,0.11245547,0.121230304,0.21450259,0.036661357,0.017467137,0.0187231,92.19834566116333,2745.55078125,1.0145215,0.096355446,0.157800432725834,0.4844777,0.0141925,0.03695597911553108,0.4589734,0.013485311,0.03495419573113745,0.9439603,0.059165686,0.08781914718505668,0.9933055,0.023218013,0.12627932664680439
45,1,0.18612821,0.33282745,0.11245547,0.121230304,0.21450259,0.036661357,0.017467137,0.0187231,92.67622637748718,2745.55078125,1.0145215,0.096355446,0.157800432725834,0.4844777,0.0141925,0.03695597911553108,0.4589734,0.013485311,0.03495419573113745,0.9439603,0.059165686,0.08781914718505668,0.9933055,0.023218013,0.12627932664680439
46,1,0.18212976,0.33124062,0.11242973,0.12029297,0.20897047,0.03211851,0.018972963,0.015437808,93.8391284942627,2745.55078125,1.010734,0.09594357,0.1570901160194535,0.48390362,0.014010202,0.036866863795769325,0.4588776,0.0133526875,0.03491452348805534,0.94430566,0.059204925,0.08770171632727917,0.9933054,0.023218045,0.1262792971464037
47,1,0.18212976,0.33124062,0.11242973,0.12029297,0.20897047,0.03211851,0.018972963,0.015437808,94.33099102973938,2745.55078125,1.010734,0.09594357,0.1570901160194535,0.48390362,0.014010202,0.036866863795769325,0.4588776,0.0133526875,0.03491452348805534,0.94430566,0.059204925,0.08770171632727917,0.9933054,0.023218045,0.1262792971464037
48,1,0.17883998,0.32905543,0.11142402,0.11972475,0.2043056,0.034925543,0.023615662,0.017171837,95.48698043823242,2745.55078125,1.0075154,0.095536634,0.1564516078144321,0.48347285,0.013913332,0.0368584048658753,0.4584981,0.013239964,0.03488728500989853,0.9441456,0.05923871,0.08760153858593071,0.99330527,0.023218084,0.1262792823962008
49,1,0.17883998,0.32905543,0.11142402,0.11972475,0.2043056,0.034925543,0.023615662,0.017171837,95.97884225845337,2745.55078125,1.0075154,0.095536634,0.1564516078144321,0.48347285,0.013913332,0.0368584048658753,0.4584981,0.013239964,0.03488728500989853,0.9441456,0.05923871,0.08760153858593071,0.99330527,0.023218084,0.1262792823962008
50,1,0.17369251,0.3243354,0.111396,0.11999715,0.19731285,0.04235125,0.025823087,0.017258598,97.11707544326782,2745.55078125,1.0026689,0.09493387,0.15543193644861703,0.48289588,0.013797379,0.036784220408132694,0.45751312,0.01306471,0.03479304049745629,0.9430495,0.059298676,0.08744332615404252,0.993305,0.023218138,0.12627923814558167
