epoch,frame,loss,walltime,memory,loss0,loss1,loss2,loss3,loss4,loss5
0,1,0,5.9035210609436035,1735.3671875,0.0,0.0,0.0,0.0,0.0,0.0
10,2,176.39262,70.50534105300903,3152.8125,3.3124812,2.1655064,8.959798,9.115647,0.98397547,0.9565231
20,3,51.74857,75.5495285987854,3157.89453125,1.2567217,0.43828037,5.2171226,5.247327,0.626686,0.61533505
30,4,19.407028,80.284747838974,3162.8515625,1.2105343,0.5308053,3.066059,3.1003623,0.40316862,0.3967056
40,5,7.2714734,84.95405673980713,3162.9453125,0.85040075,0.3546776,1.8600342,1.8839756,0.26371047,0.25919497
50,6,2.6989272,89.69192409515381,3165.59375,0.5092981,0.12515719,1.1385013,1.1444324,0.1674803,0.16376038
60,7,1.3198266,94.66364645957947,3170.671875,0.44748148,0.1301515,0.78235346,0.745022,0.10920116,0.10468559
70,8,0.82862824,99.36575269699097,3170.82421875,0.3995813,0.073124066,0.61351144,0.54917747,0.07705286,0.07023872
80,9,0.68825746,104.17146158218384,3170.84375,0.3738849,0.030085238,0.5574968,0.48296368,0.06339286,0.052812148
90,10,0.74551827,108.7914354801178,3170.859375,0.35655925,0.027478974,0.5823909,0.50980353,0.06132668,0.048066944
100,11,0.9453554,113.49299144744873,3170.87890625,0.34240642,0.027605662,0.6666783,0.5921365,0.066777036,0.051451024
110,12,1.197017,118.16645741462708,3170.91796875,0.330145,0.026622277,0.7627582,0.6851088,0.074505866,0.057430778
120,13,1.4487716,123.0392677783966,3170.921875,0.31966165,0.024364498,0.8446385,0.77322876,0.081105866,0.06378306
130,14,1.698031,127.73507046699524,3170.93359375,0.31046778,0.023626454,0.9164298,0.8505473,0.086330146,0.06943355
140,15,1.9649704,132.53402066230774,3170.94140625,0.3282215,0.023459805,0.97707534,0.9244879,0.09061555,0.07486735
150,16,2.2312298,137.27206444740295,3170.9609375,0.32224345,0.022996325,1.0445174,0.9967801,0.09515857,0.08031744
160,17,2.4838848,141.94625234603882,3170.96484375,0.30018345,0.02273846,1.1048024,1.062445,0.09899126,0.08525124
170,18,2.7151504,146.8154263496399,3170.97265625,0.28707182,0.02270724,1.1538254,1.1243076,0.10195832,0.08985189
180,19,2.9283535,151.50625252723694,3170.9765625,0.27574116,0.022619162,1.2013875,1.1714836,0.10491873,0.093113825
190,20,3.060682,156.27912425994873,3170.9921875,0.26729688,0.022544349,1.2307599,1.2033299,0.10674719,0.095501386
200,21,3.183536,160.85275053977966,3170.9921875,0.26199505,0.022551466,1.2505329,1.2336259,0.1080003,0.09793785
210,22,3.2958117,165.6974070072174,3171.21875,0.26017678,0.022568222,1.2705673,1.257252,0.10917549,0.09969763
220,23,3.423427,170.36391687393188,3171.51953125,0.25739688,0.022609364,1.2954308,1.2819235,0.110768564,0.100944445
230,24,3.4834466,175.21303510665894,3171.52734375,0.2537755,0.02264897,1.3123134,1.2927592,0.11179631,0.10220252
240,25,3.5389957,179.92886590957642,3171.53515625,0.25040296,0.022702537,1.317825,1.3075448,0.112035625,0.103072554
250,26,3.6166558,184.50696420669556,3171.53515625,0.25355753,0.02276011,1.3274376,1.3251195,0.11253756,0.1044289
260,27,3.698295,189.2281949520111,3171.54296875,0.26434356,0.022852844,1.3365433,1.3427498,0.11362293,0.10525947
270,28,3.7274234,194.20552563667297,3171.54296875,0.2582628,0.022924861,1.3579808,1.3392537,0.11504958,0.105160244
280,29,3.768632,198.89954161643982,3171.546875,0.2500657,0.023012316,1.3650839,1.3475959,0.11525065,0.106157914
290,30,3.8167365,203.67212343215942,3171.5546875,0.25134042,0.023086505,1.3652859,1.3677945,0.11548213,0.10745368
300,31,3.8175104,208.42248058319092,3171.5703125,0.25791597,0.02317488,1.366505,1.3642302,0.115923256,0.10705276
310,32,3.8702667,213.15757751464844,3171.57421875,0.25361052,0.023302399,1.3742346,1.3722256,0.116639614,0.107194886
320,33,3.9468436,217.87853837013245,3171.578125,0.24538758,0.023379516,1.3958505,1.381056,0.11807112,0.108477816
330,34,3.9407134,222.7946593761444,3171.58984375,0.24704175,0.02350205,1.3878311,1.3877947,0.11731009,0.1091973
340,35,3.9412413,227.43248319625854,3171.58984375,0.2590222,0.023618735,1.3859394,1.386746,0.1171472,0.10907425
350,36,3.977007,232.2549867630005,3171.59375,0.25448352,0.023695117,1.3973905,1.3861502,0.1186404,0.10890023
360,37,4.0945563,236.9974720478058,3171.59765625,0.24385068,0.023827516,1.4194881,1.4082042,0.11991185,0.11011931
370,38,4.061836,241.7440857887268,3171.609375,0.24662337,0.023920063,1.4052436,1.4157878,0.11911496,0.11123258
380,39,4.0347967,246.6152811050415,3171.6171875,0.25586098,0.024025775,1.4083195,1.3977822,0.119758084,0.10974388
390,40,4.0914083,251.29577541351318,3171.6171875,0.25687551,0.024128623,1.4150096,1.4108423,0.12042283,0.11090631
400,41,4.1318707,255.97058987617493,3171.6171875,0.24053098,0.024376623,1.4269918,1.4149506,0.121707514,0.11154873
410,42,4.136224,260.8046474456787,3171.62109375,0.23995498,0.024335822,1.4289889,1.4195524,0.12178309,0.111654975
420,43,4.131415,265.7015645503998,3171.7734375,0.25253135,0.024523867,1.4120216,1.4299457,0.12080496,0.11169119
430,44,4.1656456,270.43877935409546,3171.96875,0.26227972,0.02483374,1.4246495,1.4277247,0.12125806,0.112557046
440,45,4.1616697,275.34152126312256,3171.97265625,0.24330312,0.025387863,1.4261639,1.4270173,0.12170982,0.11290275
450,46,4.2024217,280.10646748542786,3172.13671875,0.2336344,0.025201792,1.435386,1.4354081,0.12261684,0.1131679
460,47,4.174295,284.8007347583771,3172.14453125,0.24891955,0.0263072,1.4369423,1.4229968,0.12353559,0.11275963
470,48,4.180869,289.49741435050964,3172.15234375,0.25525945,0.029202888,1.4308205,1.4249867,0.12341918,0.11305129
480,49,4.23163,294.36906909942627,3172.17578125,0.25000024,0.032597028,1.4380702,1.4365207,0.12438283,0.11389768
490,50,4.284029,299.0597996711731,3172.18359375,0.23834167,0.027469315,1.4398355,1.4665505,0.12340595,0.114416
500,51,4.2273803,303.9993829727173,3172.1875,0.23828763,0.026964772,1.435813,1.4420795,0.123774365,0.11414343
