epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
25,3,2.1927450644941713e-13,3.563631178129576e-07,3.0312430510395935e-07,1.988693961591339e-08,0.0,66.8131959438324,499.51953125,3.3161168230821936e-07,4.3181106674307294e-08,7.761041654817735e-08,2.603256360425186e-07,1.8502074778189858e-08,3.6926025579439054e-08,1.3444159230324715e-07,3.47732336076398e-08,4.422014067356202e-08,0.0,0.0,0.0
26,3,8.645043818629411e-14,2.2026211575604942e-07,1.9435805005779157e-07,1.264859386239354e-08,0.0,69.22710800170898,499.51953125,1.7128049634163034e-07,1.838333993174816e-08,3.182938180203067e-08,1.535455375276107e-07,1.0713049270892238e-08,2.0820959605122278e-08,9.739750495008082e-08,2.1549954301624614e-08,3.0751954534763665e-08,0.0,0.0,0.0
27,3,3.395315723909708e-14,1.3579084476816618e-07,1.2437895823237903e-07,6.6240822211829805e-09,0.0,71.95566082000732,470.7734375,1.2445513036807299e-07,1.4961540168459753e-08,2.6576379647087436e-08,8.340333836759362e-08,6.209937439209802e-09,1.2050046337643058e-08,4.521046120808947e-08,1.0912613914944676e-08,1.556582060899573e-08,0.0,0.0,0.0
28,3,1.3231730566520589e-14,8.470982594051804e-08,7.772766401260624e-08,3.792914814640845e-09,0.0,74.46801972389221,472.05859375,7.95065490249991e-08,9.971343532023626e-09,1.8288615100713556e-08,6.980739704698174e-08,4.166436579257146e-09,9.016270017042317e-09,2.7818828352010883e-08,7.2974612363646685e-09,9.097372714314337e-09,0.0,0.0,0.0
29,3,5.303221218288489e-15,5.2634683558040026e-08,5.026152802085684e-08,2.5671201845847264e-09,0.0,76.85870885848999,494.5234375,3.782029794896502e-08,3.877926325960993e-09,6.788422329460851e-09,3.647592405897626e-08,2.311944596962987e-09,4.711562417770066e-09,1.9089379632575287e-08,4.425456845508161e-09,6.1408245005795265e-09,0.0,0.0,0.0
30,4,2.1244455859435605e-15,3.2921786485000345e-08,3.222213555947676e-08,1.528247547458225e-09,0.0,79.290452003479,499.51953125,2.878769869707476e-08,3.4124923121973046e-09,6.118116109451534e-09,2.003241555276203e-08,1.2764083251891324e-09,2.62900507464929e-09,8.344577029362199e-09,2.1169330199925056e-09,2.959789343286106e-09,0.0,0.0,0.0
31,4,8.37263024153778e-16,2.0610540076356904e-08,2.0291930407800818e-08,8.40370299113718e-10,0.0,81.71200060844421,499.51953125,1.7729362714047348e-08,2.2172732041849916e-09,4.038102814847446e-09,1.6018608332141193e-08,8.728657483729086e-10,1.9364811196726296e-09,5.448679674113777e-09,1.4939480839548617e-09,1.8641488358060936e-09,0.0,0.0,0.0
32,4,3.4305978202259956e-16,1.3020157230297886e-08,1.3160781943120056e-08,5.736779293003679e-10,0.0,84.13439893722534,499.51953125,8.091297298840061e-09,8.505776294696139e-10,1.4659843640883124e-09,7.937284093872954e-09,4.949992095760181e-10,1.017835953966851e-09,3.645567236976177e-09,8.904596682536316e-10,1.2220708399781892e-09,0.0,0.0,0.0
33,4,1.4122703115048334e-16,8.330929683012292e-09,8.47018884977827e-09,2.802545562161689e-10,0.0,86.48106741905212,470.7734375,6.359477777717615e-09,8.082375975513716e-10,1.4658533029021577e-09,4.555489079710595e-09,2.858707843002659e-10,6.105999242109239e-10,1.5006292319874603e-09,3.8721788393746843e-10,5.392491238082243e-10,0.0,0.0,0.0
34,4,5.745059902830372e-17,5.338733848392416e-09,5.377836749383955e-09,1.6550474708673157e-10,0.0,88.92567038536072,472.05859375,4.4402927307229945e-09,5.190416806974227e-10,9.685114749982167e-10,4.046168287084092e-09,2.02801376819616e-10,4.798125373316483e-10,1.2485308342746748e-09,3.223373318044073e-10,4.0243386782179144e-10,0.0,0.0,0.0
