epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
10,2,2.606943785318411e-08,0.00010084470894291075,0.00012606918710576572,2.5184506934144167e-06,0.0,25.434985876083374,502.3046875,2.2770882443623464e-05,4.877019100483359e-06,7.018750469926851e-06,7.211311670238252e-06,9.106302334695261e-07,1.3247854562257887e-06,3.5081942465042815e-05,3.168131577128338e-06,4.1606999900670986e-06,0.0,0.0,0.0
11,2,6.171555182591947e-09,4.816564033182563e-05,6.20526252653329e-05,1.0478414466547524e-06,0.0,27.779868364334106,502.3046875,6.087989111835945e-06,1.477274580099776e-06,2.0818519606394554e-06,3.8085590584047146e-06,2.4953097948870857e-07,3.872670489488218e-07,7.176870713387906e-06,9.74160551224406e-07,1.3011402676566705e-06,0.0,0.0,0.0
12,2,1.5790835053672377e-09,2.3953682307636476e-05,3.170397505808125e-05,4.0320564061443837e-07,0.0,30.636481761932373,502.3046875,1.6574029156890546e-06,4.438058458850154e-07,6.112299476585607e-07,2.036836405316933e-06,7.487536379364174e-08,1.344532704335053e-07,2.822205122821053e-06,2.7844607587576246e-07,4.120360312495037e-07,0.0,0.0,0.0
13,2,4.3031729107844375e-10,1.2299768532761487e-05,1.6703192212875983e-05,1.906699206829606e-07,0.0,32.98373627662659,502.3046875,6.416350144533567e-07,1.5035046667703334e-07,2.087036736109713e-07,1.020194829198795e-06,2.8469060122169618e-08,5.8155331771443896e-08,9.589071642279734e-07,9.356194675855803e-08,1.41209738351915e-07,0.0,0.0,0.0
14,2,1.2380515003198086e-10,6.503800206048692e-06,9.02757959456557e-06,9.240982396458309e-08,0.0,34.90837645530701,502.3046875,2.764376678676683e-07,5.025983846305496e-08,7.106896430272926e-08,5.915778760329227e-07,1.0181883645788185e-08,2.670971436205902e-08,3.7081215764622755e-07,3.340126344823628e-08,4.7657285500135556e-08,0.0,0.0,0.0
15,2,3.72170466571015e-11,3.5284164784707557e-06,4.976466412071281e-06,4.5889662059367825e-08,0.0,36.81648826599121,502.3046875,1.439655159529707e-07,1.607784882684872e-08,2.1943493887030953e-08,3.088283930530178e-07,4.0174580762823265e-09,1.3516195529614649e-08,2.0644760528876205e-07,1.1504283057577315e-08,1.635786449088684e-08,0.0,0.0,0.0
16,2,1.1577567935184601e-11,1.956172012995001e-06,2.7839552458101516e-06,2.349851241728733e-08,0.0,38.72403144836426,502.3046875,8.265780038207993e-08,5.112743750005865e-09,7.646711316554266e-09,1.847644977709395e-07,1.7995795868098704e-09,7.312292453652927e-09,1.1337365646291175e-07,4.066874527568012e-09,6.5903008137594345e-09,0.0,0.0,0.0
17,2,3.695174863948566e-12,1.1028259248245612e-06,1.5744198315099667e-06,1.2330354072225158e-08,0.0,40.63599514961243,502.30859375,4.716653090319767e-08,1.7008877178046305e-09,3.1161794573300537e-09,1.0219038654168955e-07,8.371951821544837e-10,4.064836339433868e-09,5.892713056399046e-08,1.5438750100881863e-09,3.070409145368107e-09,0.0,0.0,0.0
18,2,1.2020183180722485e-12,6.295469410659619e-07,8.97577767970847e-07,6.566392556876229e-09,0.0,42.633583784103394,502.30859375,2.5838654993393106e-08,5.742863420026802e-10,1.4871571584647435e-09,5.438767579357684e-08,4.097733376670467e-10,2.2925774375929815e-09,3.211519461476797e-08,6.0108975791978e-10,1.5524567381409312e-09,0.0,0.0,0.0
19,2,3.966476412881349e-13,3.6273862516631245e-07,5.148357182527252e-07,3.537557319512155e-09,0.0,44.558454275131226,502.30859375,1.5158947652693655e-08,2.255745179917103e-10,8.171062286846175e-10,3.300364074740325e-08,2.1954149504095965e-10,1.3044508964803002e-09,1.825302087254954e-08,2.592518629921922e-10,8.429823033650045e-10,0.0,0.0,0.0
