epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,loss5,loss6,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,35.964222,0.006692851,0.0,0.0,0.0,5.65481,1.4156966,1.408229,56.763935804367065,2606.734375,1.0732246426631336,0.14712545406884447,0.23005976961660757,0.5171820745807605,0.02216481442898354,0.04651547710808979,0.5171822411533525,0.02216484434696909,0.046515480392139305,0.9018439384576671,0.058831532330062504,0.09307991024377263,0.9933072,0.023217568,0.12627962165043216
1,1,35.964222,0.006692851,0.0,0.0,0.0,5.65481,1.4156966,1.408229,57.69336462020874,2621.87109375,1.0732246426631336,0.14712545406884447,0.23005976961660757,0.5171820745807605,0.02216481442898354,0.04651547710808979,0.5171822411533525,0.02216484434696909,0.046515480392139305,0.9018439384576671,0.058831532330062504,0.09307991024377263,0.9933072,0.023217568,0.12627962165043216
2,1,24.146645,0.14339557,0.1143193,0.11470328,0.177211,4.5928745,1.2210749,1.2177576,58.6105797290802,2623.12109375,1.1205129885786584,0.13416308402060703,0.21799442917589298,0.5107636408281597,0.019770608565189147,0.043395446494753416,0.5056496836982808,0.019835012539791166,0.043386653835657374,0.9018412528139454,0.05883034616738594,0.09307902015427731,0.9933072,0.023217568,0.12627962165043216
3,1,24.146645,0.14339557,0.1143193,0.11470328,0.177211,4.5928745,1.2210749,1.2177576,59.126383543014526,2623.12109375,1.1205129885786584,0.13416308402060703,0.21799442917589298,0.5107636408281597,0.019770608565189147,0.043395446494753416,0.5056496836982808,0.019835012539791166,0.043386653835657374,0.9018412528139454,0.05883034616738594,0.09307902015427731,0.9933072,0.023217568,0.12627962165043216
4,1,6.532631,0.9897074,0.23689865,0.18767859,0.6832339,2.042329,0.63435775,0.6491835,60.11518573760986,2624.1015625,1.1962547085109732,0.10492356572369256,0.18373081840110722,0.48504902081164447,0.014594730299436611,0.03501672482519933,0.4704246313117585,0.014373205675218548,0.035021045733018834,0.9035226484461494,0.058740163260220184,0.09265827362936901,0.9933071,0.023217572,0.12627961427534987
5,1,6.532631,0.9897074,0.23689865,0.18767859,0.6832339,2.042329,0.63435775,0.6491835,60.60142922401428,2624.1015625,1.1962547085109732,0.10492356572369256,0.18373081840110722,0.48504902081164447,0.014594730299436611,0.03501672482519933,0.4704246313117585,0.014373205675218548,0.035021045733018834,0.9035226484461494,0.058740163260220184,0.09265827362936901,0.9933071,0.023217572,0.12627961427534987
6,1,4.169028,0.48998746,0.18872961,0.19051869,0.5348682,1.7417029,0.5105303,0.52608913,61.56183385848999,2624.4765625,1.1963134786907217,0.10095436044356934,0.18007978723013396,0.4828674535599622,0.013508566971594546,0.033421895633317614,0.45899569772110793,0.013355642954866749,0.033208790373925955,0.904828800300955,0.05866705714054401,0.09236112885385939,0.9933071,0.02321759,0.12627960690026713
7,1,4.169028,0.48998746,0.18872961,0.19051869,0.5348682,1.7417029,0.5105303,0.52608913,62.04592275619507,2624.4765625,1.1963134786907217,0.10095436044356934,0.18007978723013396,0.4828674535599622,0.013508566971594546,0.033421895633317614,0.45899569772110793,0.013355642954866749,0.033208790373925955,0.904828800300955,0.05866705714054401,0.09236112885385939,0.9933071,0.02321759,0.12627960690026713
8,1,1.9165523,0.5274207,0.18727258,0.1813558,0.49389544,1.0544058,0.32461047,0.3306696,63.21766686439514,2624.4765625,1.1354200622859976,0.08526875028925679,0.16429429783471264,0.4626086022106084,0.012114466612754025,0.030167267243910844,0.4357019168850115,0.011925424894152619,0.02980387716772887,0.9095922097963087,0.058414076171797114,0.09134181913947127,0.99330693,0.023217635,0.1262795921501004
9,1,1.9165523,0.5274207,0.18727258,0.1813558,0.49389544,1.0544058,0.32461047,0.3306696,63.70445513725281,2624.4765625,1.1354200622859976,0.08526875028925679,0.16429429783471264,0.4626086022106084,0.012114466612754025,0.030167267243910844,0.4357019168850115,0.011925424894152619,0.02980387716772887,0.9095922097963087,0.058414076171797114,0.09134181913947127,0.99330693,0.023217635,0.1262795921501004
10,1,1.2889637,0.4630839,0.25566417,0.21255372,0.48151627,0.74914867,0.29444367,0.29016346,64.84669256210327,2624.49609375,1.1324598572078726,0.08311549141161556,0.16152927218784524,0.4522742371407422,0.011774403062399486,0.029829533077904653,0.43803385920488147,0.01178901776762512,0.02981983303784926,0.9128733514276139,0.058176091242499235,0.09041037309143463,0.9933068,0.02321769,0.12627957002484705
11,1,1.2889637,0.4630839,0.25566417,0.21255372,0.48151627,0.74914867,0.29444367,0.29016346,65.33115649223328,2624.49609375,1.1324598572078726,0.08311549141161556,0.16152927218784524,0.4522742371407422,0.011774403062399486,0.029829533077904653,0.43803385920488147,0.01178901776762512,0.02981983303784926,0.9128733514276139,0.058176091242499235,0.09041037309143463,0.9933068,0.02321769,0.12627957002484705
