epoch,frame,loss,walltime,memory,loss0,loss1,loss2,loss3,loss4,loss5
0,1,0,6.259045124053955,1744.66796875,0.0,0.0,0.0,0.0,0.0,0.0
10,2,165.42923,84.01104140281677,3540.63671875,1.9034092,1.031537,10.084853,10.086689,0.58706033,0.5780402
20,3,51.142708,89.78690719604492,3619.7734375,1.7381687,0.9386142,5.3563266,5.368066,0.4206011,0.41560453
30,4,18.048067,95.74348902702332,3624.953125,0.9860825,0.46744594,3.0168417,3.046655,0.29616386,0.28968334
40,5,7.058286,101.61987972259521,3554.2109375,0.68421686,0.26835525,1.87005,1.8489709,0.21386303,0.20241633
50,6,2.5545096,107.2762222290039,3628.4296875,0.4853289,0.15602913,1.1294146,1.1466892,0.15248169,0.1351386
60,7,1.1092392,112.95675897598267,3628.4453125,0.3857406,0.075014174,0.71547514,0.7023731,0.11256747,0.09460038
70,8,0.63164234,118.87787127494812,3632.7578125,0.32510275,0.04360659,0.51839626,0.5174146,0.089496136,0.07127311
80,9,0.5649758,124.69224691390991,3560.10546875,0.28612143,0.042028964,0.48866034,0.48236626,0.082688086,0.058804702
90,10,0.6154166,130.36299514770508,3634.28515625,0.25914264,0.0306394,0.5205612,0.50626034,0.08113758,0.054891217
100,11,0.72486633,136.2472722530365,3634.32421875,0.23742992,0.028207205,0.5764102,0.55750984,0.08127527,0.054553036
110,12,0.8928504,141.9756622314453,3560.55078125,0.21814984,0.030024149,0.64403284,0.63192487,0.08316756,0.057222705
120,13,1.099085,147.5502507686615,3634.85546875,0.20232959,0.030302122,0.7227892,0.7098762,0.08552563,0.060885824
130,14,1.3451535,153.20741653442383,3634.875,0.18943056,0.030646207,0.8043539,0.7888858,0.088341676,0.065193914
140,15,1.6405106,159.09075570106506,3634.890625,0.1794619,0.031465016,0.89586705,0.87344277,0.09208192,0.070319906
150,16,1.925342,164.88921689987183,3562.49609375,0.17430341,0.03229995,0.96367496,0.9605756,0.09506692,0.07612774
160,17,2.1566389,170.64644598960876,3636.6640625,0.18065898,0.03305307,1.025034,1.0164442,0.09809225,0.079623066
170,18,2.4295943,176.37843346595764,3636.67578125,0.24708495,0.033764597,1.0827727,1.0767546,0.100886345,0.08397117
180,19,2.6453269,182.32484436035156,3636.69140625,0.19647074,0.034450315,1.1356649,1.129832,0.10393343,0.08771731
190,20,2.8235915,188.14210629463196,3562.5390625,0.17468937,0.035071444,1.1776619,1.1676644,0.10630257,0.09065341
200,21,2.9995618,193.83069252967834,3636.703125,0.16758089,0.03565954,1.2164603,1.2075171,0.10855652,0.09377455
210,22,3.0849447,199.74807786941528,3636.71484375,0.15384765,0.03621847,1.2284288,1.2338765,0.109098025,0.09606578
220,23,3.185435,205.5965850353241,3562.56640625,0.14927322,0.036742754,1.2460567,1.2571803,0.11019971,0.097954825
230,24,3.268063,211.49282240867615,3636.7265625,0.14893755,0.03723183,1.2685938,1.2670963,0.11164513,0.098698646
240,25,3.350533,217.26290154457092,3636.7421875,0.15336677,0.03768953,1.285785,1.2797091,0.11283204,0.09988125
250,26,3.423926,223.30830454826355,3636.76171875,0.17060272,0.03811509,1.2958984,1.2985226,0.11318559,0.10162208
260,27,3.455277,229.0872654914856,3563.0859375,0.17291924,0.038503654,1.3004863,1.3061782,0.11352757,0.10223329
270,28,3.531535,234.86441445350647,3637.27734375,0.16239244,0.038864512,1.3154858,1.3218999,0.11470442,0.10359447
280,29,3.5768828,240.64429903030396,3637.33984375,0.15575723,0.039190795,1.330284,1.3227893,0.11567112,0.103908
290,30,3.6185288,246.58428525924683,3637.33984375,0.16042256,0.0394768,1.3398675,1.329445,0.116271086,0.1045583
