epoch,frame,loss,walltime,memory,loss0,loss1,loss2,loss3,loss4,loss5
0,1,0,6.117467641830444,1731.49609375,0.0,0.0,0.0,0.0,0.0,0.0
10,2,175.8952,79.23108077049255,3340.90234375,2.2519107,1.3252172,10.008755,10.065599,0.5787672,0.59139025
20,3,51.47595,84.9811680316925,3345.5,1.5481894,0.7799935,5.4937,5.531829,0.41452122,0.41964865
30,4,17.896822,90.50706243515015,3424.859375,1.1451871,0.5834897,3.040533,3.0855174,0.2924587,0.29304624
40,5,7.0387106,96.1561107635498,3430.0078125,0.62836164,0.22130616,1.8183836,1.8593246,0.20392856,0.20122522
50,6,2.6178582,101.75342750549316,3359.21484375,0.5334327,0.18995053,1.1585872,1.1615558,0.14225623,0.13386072
60,7,1.1838661,107.10660171508789,3433.51171875,0.38870353,0.08124233,0.717849,0.7195698,0.10579672,0.09460885
70,8,0.7700438,112.46772646903992,3433.55078125,0.3486937,0.041406736,0.57303244,0.5646196,0.0838452,0.07362248
80,9,0.7459991,118.18859457969666,3433.59765625,0.30604997,0.038913924,0.57718587,0.5695903,0.07573795,0.064304344
90,10,0.69738,123.77042436599731,3359.47265625,0.28102612,0.033432916,0.5588128,0.54077274,0.07320567,0.05705724
100,11,0.83656466,129.26668167114258,3433.64453125,0.2598433,0.025851928,0.6233478,0.5890866,0.07628096,0.057093374
110,12,1.0394061,134.83243083953857,3433.6796875,0.24142477,0.025794966,0.7052392,0.67308694,0.08024709,0.06046416
120,13,1.232122,140.42854833602905,3359.7890625,0.2255077,0.02694914,0.77217954,0.74270755,0.08362096,0.06345649
130,14,1.4572902,145.87422561645508,3433.9609375,0.21265122,0.02713636,0.84520906,0.81166184,0.08702595,0.06724223
140,15,1.7386737,151.21885871887207,3433.97265625,0.20260306,0.027702933,0.9268516,0.8906099,0.09117832,0.071998425
150,16,2.0282867,156.87082695960999,3433.9765625,0.19862509,0.028671894,0.99992335,0.97168964,0.094939895,0.077112794
