epoch,frame,loss,loss0,loss1,loss2,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,0.06120112105006809,0.24738860331484167,0.0,0.0,13.089202404022217,597.390625,1.2449175773624972,0.5912135974114118,0.6840065095238977,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001071673716546,0.35285437863533864,0.4817041834853078,0.0,0.0,0.0
1,1,0.05965813077899372,0.24333226528279972,0.0020537784634433913,0.021055199960057138,13.265133142471313,601.21484375,1.2434443233205759,0.5902302324746803,0.6824373832654014,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001978841207153,0.35270199131059116,0.4814845988186405,0.0,0.0,0.0
2,1,0.05952502050569755,0.24295701333713604,0.00217765410314973,0.02218485967057928,13.362950801849365,601.98828125,1.2432138438185398,0.590142019060223,0.6823061193565421,0.8936175916911077,0.07989938084702437,0.15826444983843846,2.0001626415314893,0.3526858393443023,0.4814671868698478,0.0,0.0,0.0
3,1,0.05942526770230025,0.2428392051145601,0.0020779477797376747,0.021214860231769987,13.441702127456665,602.50390625,1.2431490924470683,0.5901700294272034,0.6823495162965144,0.8935957214842589,0.07989541580313762,0.15825854179166654,2.0001159635229464,0.3526885254348237,0.48147501901443684,0.0,0.0,0.0
4,1,0.05858843102045463,0.24064465781061614,0.003553741724413487,0.025806018821628682,13.524250030517578,603.01953125,1.240537549446131,0.5896248814007986,0.6815502269368311,0.8932023248258267,0.07984822700957905,0.158161742351553,1.9997227842674208,0.3526381021809399,0.4813957862516923,0.0,0.0,0.0
5,1,0.05816241567524545,0.23901974443833254,0.005187773620137071,0.0317027514380985,13.622366666793823,603.53515625,1.2383455661037006,0.5891320401947571,0.6807406648965382,0.8928601812922011,0.07978694949407318,0.15806888020374615,2.0004883821107775,0.3525821881115292,0.4813102750316351,0.0,0.0,0.0
6,1,0.057941653846348126,0.23782848424238215,0.005646544955615625,0.03670670864274437,13.699831485748291,604.05078125,1.2369694468682797,0.5887351479313726,0.6801468719270112,0.8926511693533699,0.07976378482993315,0.15802087452095032,2.000956695383019,0.35253911409386696,0.48124743798842656,0.0,0.0,0.0
7,1,0.05761672448836694,0.23596578327846246,0.008577677152314458,0.04316592481135193,13.7783784866333,604.56640625,1.2342259492087688,0.5880801244382878,0.6791802877172735,0.8920873482018613,0.07967358258296203,0.15787488849741282,2.0019889377331035,0.3524865661549298,0.48117063971735835,0.0,0.0,0.0
8,1,0.05735541465589286,0.2334269308503823,0.014782073933029752,0.051466230675095585,13.858246326446533,605.08203125,1.2292308651316577,0.5870489191635272,0.6776610588222729,0.8910516527251426,0.0795822574158039,0.15765519372627537,2.0039675233459806,0.35242781421911573,0.48108503393991414,0.0,0.0,0.0
9,1,0.05702359945284765,0.2333964234596312,0.010690983953364626,0.04934989190676165,13.936398267745972,605.59765625,1.2284346619897724,0.5869967229944273,0.6776017206794188,0.8907182177507785,0.07950695991611019,0.1575612213090955,2.0043618220815804,0.35244994718545464,0.4811174248617484,0.0,0.0,0.0
10,1,0.056776634010665676,0.23350382542024453,0.012121116947131638,0.04588764592710764,14.014578104019165,606.11328125,1.2268940804075745,0.586891025799714,0.6774731740123004,0.8901448999855103,0.07941037120781627,0.15741677825694167,2.0051086351453886,0.35249193433237347,0.4811794190984718,0.0,0.0,0.0
11,1,0.056575947319145115,0.23318171474128382,0.014237734472146334,0.04471601666696514,14.093026399612427,606.62890625,1.2247153269163216,0.5865976703875052,0.6770691305114177,0.8893739047678281,0.07931311969521984,0.1572500544966869,2.0060297224224457,0.35252122686917725,0.4812269029861323,0.0,0.0,0.0
12,1,0.05621899159646782,0.23228756802189351,0.01755728489964451,0.044195238271727166,14.1735360622406,607.14453125,1.2188859378643384,0.5857025668444015,0.6758266770936372,0.8874449228118376,0.07905151791593551,0.15680378148138255,2.008449211012781,0.3525857727326086,0.4813391024291621,0.0,0.0,0.0
13,1,0.05589925621823053,0.23094350785243198,0.018975355952391484,0.046949848407894464,14.254207611083984,607.66015625,1.2153227630847432,0.5850076928398757,0.6748442894204506,0.8862029960739312,0.07890432658423736,0.15655084071746644,2.0097150295526722,0.3526015029015465,0.48137933021568846,0.0,0.0,0.0
14,1,0.055624015077710184,0.22941099376292173,0.020347454469138198,0.050799528689203614,14.335788249969482,608.17578125,1.2120885810249251,0.5842899016633831,0.6738271916478945,0.8850742947577604,0.07876529727782432,0.15631699827453827,2.010674990778585,0.35260776922955134,0.48140899117987185,0.0,0.0,0.0
15,1,0.055281796776774736,0.22809425709090483,0.021626596592956127,0.052792963344829316,14.41703200340271,608.69140625,1.2082467185000443,0.5835077753382475,0.6727412337777456,0.8835342724010249,0.07856982025293105,0.1560021150836184,2.011596494480566,0.3526526093694199,0.4814993349127742,0.0,0.0,0.0
16,1,0.054800242973230336,0.22591561410496439,0.02394988756133667,0.056469293980060405,14.512602090835571,609.20703125,1.1995688016794552,0.5817187773951302,0.6702782587170693,0.8798428619167866,0.07808692200498688,0.1552687897670186,2.01293614457394,0.35278374317286665,0.4817420017363454,0.0,0.0,0.0
17,1,0.05454527770902025,0.22432974690674065,0.026832824067044864,0.05917298297673488,14.611146211624146,609.98046875,1.1911938300005023,0.580016875629814,0.6679619437960308,0.876132427138713,0.07762545104355635,0.1545415800722016,2.0139497725395974,0.3529408978938372,0.48200778922137183,0.0,0.0,0.0
18,1,0.054280451791746745,0.22448810686468726,0.025395760434124472,0.0569262419278495,14.692418098449707,610.49609375,1.1932939008332417,0.5804457460651804,0.6685578764885687,0.8769249321708372,0.07773019048150907,0.1547071826621327,2.0132723662387573,0.3529215264001413,0.4819626423650012,0.0,0.0,0.0
19,1,0.05410549092564464,0.22449613721377826,0.024606374103957426,0.055691127257339504,14.773463487625122,611.01171875,1.1930968672505027,0.5803982692455054,0.6685055755342122,0.8767157381476678,0.07771217433208638,0.1546820041863036,2.0127352000257877,0.35294429971494523,0.48198167897159083,0.0,0.0,0.0
20,1,0.053877838332518385,0.22400449376658335,0.02425963181690747,0.055778986805097124,14.857741117477417,611.52734375,1.190566603909267,0.5798489909114691,0.6677660040928217,0.8755597375357715,0.07757768271242217,0.15447859864347993,2.0122450742555493,0.3529994721253925,0.48204313602375415,0.0,0.0,0.0
21,1,0.05337414968882222,0.22233017468237484,0.024477646557387413,0.05782981872303013,14.939680576324463,612.04296875,1.1826271534835784,0.5781501770412941,0.6654703547783616,0.8722180975495636,0.07720810485909732,0.1538703102801122,2.0113327981605496,0.35313287974179125,0.482172719266531,0.0,0.0,0.0
22,1,0.05317089900935391,0.2214524371311582,0.025184681903816574,0.05912232146514468,15.043023824691772,612.55859375,1.1780811710021906,0.5771684404443409,0.6641487172614603,0.8704250976710093,0.07696328934973762,0.15354652567793325,2.010587743988286,0.35319952438480173,0.4822057227470675,0.0,0.0,0.0
23,1,0.05280117598420899,0.21965625566465175,0.02520750516979766,0.06258503826561711,15.125824689865112,613.07421875,1.1694785401724785,0.5753348553168128,0.6616844031528405,0.866976597919193,0.07658262017215778,0.15290766597395225,2.009991211101817,0.3533258431206095,0.48229524160828346,0.0,0.0,0.0
24,1,0.05255493570945114,0.21822606688248086,0.02593782370399645,0.06526521848545772,15.210098028182983,613.58984375,1.16288859981247,0.5739529203188718,0.6598379773364476,0.8644417495035888,0.07633415554249107,0.15242960713419365,2.0095906501872562,0.35339389020444795,0.48230842622131476,0.0,0.0,0.0
25,1,0.052253683511775,0.21684229742030287,0.02593782070016619,0.06753022300115659,15.300737142562866,614.10546875,1.1554282523321895,0.5723959367523355,0.6577779387340701,0.8617682099590624,0.0760384020112354,0.15193051194664556,2.0085219823179488,0.35341777662932256,0.4822023297700068,0.0,0.0,0.0
