epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,loss5,loss6,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,76.98084,0.006692851,0.0,0.0,0.0,8.472382,1.4010417,1.799062,56.92318606376648,2607.21875,1.0761327273858656,0.0871074766382329,0.1555441551909146,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7993812447383253,0.028901836405003066,0.05127415552472807,0.9933072,0.014968073,0.08816520925949867
1,1,76.98084,0.006692851,0.0,0.0,0.0,8.472382,1.4010417,1.799062,57.83636713027954,2622.2734375,1.0761327273858656,0.0871074766382329,0.1555441551909146,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7993812447383253,0.028901836405003066,0.05127415552472807,0.9933072,0.014968073,0.08816520925949867
2,1,58.606995,0.053694107,0.02823615,0.039501354,0.05406058,7.384445,1.2417191,1.589632,58.70905804634094,2623.58984375,1.080159378768312,0.08401996645026857,0.14991427278083586,0.4396392455853197,0.013508277565470595,0.0307855177975183,0.4118985588417063,0.01138563547820096,0.027523199712105928,0.7993808891503111,0.028901679360732575,0.051274023702150194,0.9933072,0.014968073,0.08816520925949867
3,1,58.606995,0.053694107,0.02823615,0.039501354,0.05406058,7.384445,1.2417191,1.589632,59.23975658416748,2623.58984375,1.080159378768312,0.08401996645026857,0.14991427278083586,0.4396392455853197,0.013508277565470595,0.0307855177975183,0.4118985588417063,0.01138563547820096,0.027523199712105928,0.7993808891503111,0.028901679360732575,0.051274023702150194,0.9933072,0.014968073,0.08816520925949867
4,1,4.868049,0.37126887,0.16141586,0.18864384,0.31664026,2.0527287,0.40496144,0.4365971,60.36530590057373,2624.5703125,1.0996928222386821,0.0670318495151794,0.1249252520555902,0.43299207520558475,0.010699869054845844,0.027274562247545795,0.3958423578866432,0.009188009498647622,0.023020840678004636,0.7995997295218704,0.028908112237534256,0.05124858623976328,0.9933072,0.014968074,0.08816520925949867
5,1,4.868049,0.37126887,0.16141586,0.18864384,0.31664026,2.0527287,0.40496144,0.4365971,60.84894609451294,2624.5703125,1.0996928222386821,0.0670318495151794,0.1249252520555902,0.43299207520558475,0.010699869054845844,0.027274562247545795,0.3958423578866432,0.009188009498647622,0.023020840678004636,0.7995997295218704,0.028908112237534256,0.05124858623976328,0.9933072,0.014968074,0.08816520925949867
6,1,1.6390669,0.34361076,0.13339539,0.12502533,0.27745157,1.0215952,0.57127905,0.2014373,61.96377444267273,2624.9453125,1.0875895030705913,0.0651516293507743,0.12263560325659977,0.4347403018798354,0.011391640544207004,0.02748815026815774,0.39589859114369846,0.008538198366428891,0.02259748895464164,0.7998911648608928,0.02890177101833107,0.05119186535882954,0.9933071,0.014968087,0.0881652039778087
7,1,1.6390669,0.34361076,0.13339539,0.12502533,0.27745157,1.0215952,0.57127905,0.2014373,62.44715666770935,2624.9453125,1.0875895030705913,0.0651516293507743,0.12263560325659977,0.4347403018798354,0.011391640544207004,0.02748815026815774,0.39589859114369846,0.008538198366428891,0.02259748895464164,0.7998911648608928,0.02890177101833107,0.05119186535882954,0.9933071,0.014968087,0.0881652039778087
8,1,0.6115351,0.31538805,0.095707655,0.10610438,0.25404665,0.60899043,0.19834304,0.1299936,63.590555906295776,2624.96484375,1.0913378007619365,0.06370160797219226,0.12197166067719444,0.4337623768655255,0.010293268794300156,0.02695992417553585,0.3958720819779346,0.008364917212591451,0.02245976279986087,0.8001304628995431,0.028898445857075867,0.051151276734974556,0.9933071,0.014968092,0.0881652039778087
9,1,0.6115351,0.31538805,0.095707655,0.10610438,0.25404665,0.60899043,0.19834304,0.1299936,64.09905195236206,2624.96484375,1.0913378007619365,0.06370160797219226,0.12197166067719444,0.4337623768655255,0.010293268794300156,0.02695992417553585,0.3958720819779346,0.008364917212591451,0.02245976279986087,0.8001304628995431,0.028898445857075867,0.051151276734974556,0.9933071,0.014968092,0.0881652039778087
