epoch,frame,loss,walltime,memory,loss0,loss1,loss2,loss3,loss4,loss5
0,1,0,5.37303352355957,1263.88671875,0.0,0.0,0.0,0.0,0.0,0.0
10,2,11.783225,41.21484708786011,1948.4609375,1.6036098,1.0250311,2.610834,2.598636,0.38897234,0.38292152
20,3,4.3330235,44.82703399658203,1953.046875,1.0539504,0.5216342,1.3168626,1.3254755,0.28586674,0.28226647
30,4,1.8682277,48.489020109176636,1958.28515625,0.8196444,0.39158556,0.7459786,0.7541442,0.20027979,0.1892234
40,5,0.70041597,52.283992528915405,1971.25390625,0.45227772,0.16402297,0.4824085,0.46917433,0.16031782,0.14085339
50,6,0.31854427,55.96677017211914,1975.7578125,0.36205494,0.12564579,0.30364165,0.30184725,0.118910514,0.09411089
60,7,0.1565066,59.56574511528015,1975.9765625,0.26495382,0.066815384,0.20205325,0.19073689,0.08746692,0.06281295
70,8,0.102579385,63.16658425331116,1976.02734375,0.22330745,0.040130936,0.16188706,0.14605486,0.07235083,0.044785693
80,9,0.08716889,67.044842004776,1976.08203125,0.19078068,0.042442232,0.15510273,0.13933611,0.06914623,0.03683088
90,10,0.08285905,70.64623808860779,1976.10546875,0.17351313,0.04512828,0.15766448,0.14358607,0.066595115,0.03141132
100,11,0.08569043,74.24908590316772,1976.1171875,0.16295364,0.043417305,0.16744721,0.15305935,0.06537741,0.030639369
110,12,0.09445093,78.09186339378357,1976.140625,0.1549758,0.043453116,0.18376996,0.16799003,0.06541115,0.03202645
120,13,0.10709397,81.76451134681702,1976.15625,0.14883617,0.044442862,0.19829997,0.1915479,0.065368146,0.034910098
130,14,0.12040988,85.44179606437683,1976.17578125,0.14368004,0.045155074,0.21562703,0.21079227,0.06662998,0.03761955
140,15,0.1333484,89.05997276306152,1976.1875,0.13971317,0.04571513,0.23114228,0.22402574,0.067725085,0.03978704
150,16,0.15207545,92.87498903274536,1976.1953125,0.13757315,0.046244662,0.24897414,0.24615753,0.068992496,0.043420292
160,17,0.17675374,96.54203128814697,1976.203125,0.14248198,0.046645418,0.26978707,0.26776615,0.07102316,0.04702439
170,18,0.1867075,100.226327419281,1976.2265625,0.13819508,0.046914864,0.28138855,0.27881908,0.07221501,0.048803687
180,19,0.19742793,104.0315408706665,1976.24609375,0.13527983,0.04708867,0.28975224,0.29020238,0.07315795,0.051017243
190,20,0.20892163,107.64658689498901,1976.25390625,0.1354632,0.047181696,0.29850188,0.2989489,0.07441724,0.052587017
200,21,0.21968648,111.40905570983887,1976.265625,0.13441204,0.04721261,0.30745387,0.30789277,0.07587952,0.05423839
210,22,0.23056173,114.99060487747192,1976.27734375,0.13305576,0.047197122,0.3184688,0.31486148,0.07740239,0.055744555
220,23,0.23565203,118.8756000995636,1976.28515625,0.13272141,0.047134724,0.32390493,0.3197082,0.07812521,0.056714866
230,24,0.23778793,122.57723236083984,1976.29296875,0.1305023,0.04705026,0.32246965,0.32498103,0.078078344,0.05759673
