epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,5.254274160193661,0.006692850924284864,0.0,0.0,2.22123894096034,0.565974321945398,14.847699880599976,638.55859375,1.0435532621553478,0.2870041793934503,0.37046138013948465,0.8017169538076435,0.051307232021157764,0.09433032208365638,1.4592738999704709,0.13700453454389042,0.20167533698021153,0.9933071490757152,0.037682110571525027,0.17171118164394128
1,1,2.9220859108317954,0.6375834135292451,0.4967631785328123,0.526275493109212,1.3691981956343453,0.34224268071425157,15.200177907943726,645.78125,1.1540295743958753,0.24425305321717053,0.3323097073810348,0.7996479515616871,0.04151078086133882,0.08157591406507661,1.4593370943919113,0.13696005152757762,0.2016346055540872,0.9933071547675322,0.03768210687012045,0.17171118244238623
2,1,2.47180962558393,0.7222894404784512,0.2761329314560402,0.5251576744461932,1.2225626255888842,0.3215715121185798,15.314176559448242,646.8125,1.1799148405702957,0.23523979012259394,0.32578707739519347,0.8044910365393585,0.040729701372095826,0.08116799151490992,1.4584180000591955,0.1369220796408333,0.2014219640609694,0.9933071287152828,0.037682126321380835,0.17171117624899668
3,1,2.300218945726747,0.701662631819844,0.24364829277899205,0.5193679782284704,1.174621107003389,0.31471600600109817,15.405227422714233,647.5859375,1.1821841304849898,0.23261401847991894,0.32297504007606853,0.8039460203435989,0.04038516962653909,0.08078851446090442,1.4572995614056712,0.13689080499960046,0.20119823219936567,0.993307103640123,0.037682146877060695,0.17171116899851446
4,1,2.070926825983075,0.6654202832167206,0.23304971452088583,0.5434083756321458,1.0891146356850963,0.3039196453965103,15.505883932113647,648.359375,1.1775226210390086,0.227260477721472,0.3169610132912962,0.8030782806497581,0.040038490720413066,0.07996392211079367,1.4541993663544797,0.1368228244178228,0.2006439584143719,0.9933070410932946,0.03768219908153118,0.17171115016255759
5,1,1.8029514441056262,0.6246822360847218,0.2503913493263528,0.5677306875988999,0.9734939389101682,0.2828765410421871,15.59784722328186,648.875,1.157824761542642,0.21943968290424956,0.30732480092719616,0.8040834581814227,0.03860928715568126,0.07825729318358694,1.4478446179988471,0.13672192897627738,0.19967516019142562,0.993306921882574,0.03768229723503992,0.17171111469429726
6,1,1.6971452264174356,0.697011154260922,0.47159044444775905,0.5801942308715594,0.7730203363998283,0.2339601332161396,15.689602136611938,649.6484375,1.1113280730598525,0.20443517979211914,0.289066847617366,0.7981954792356518,0.03412732815552131,0.07352992771946858,1.4340112076707712,0.13657304836036993,0.1980148762498139,0.9933066578369396,0.03768250899976685,0.1717110382742051
7,1,1.4320506214451203,0.6328049371649398,0.23855390315719668,0.5378437473786027,0.792681988607676,0.23891407781038207,15.781118154525757,650.421875,1.103615257788967,0.2052293099303761,0.2896588675693907,0.8029725134068164,0.03392575070621106,0.07423428681473272,1.433988016816235,0.13657064227886123,0.19797652034502586,0.9933066432088025,0.03768251499794978,0.17171103646209704
8,1,1.3587800310082245,0.59683045575713,0.22656764553279685,0.519012937910951,0.7900210555754906,0.2402765950214813,15.875074625015259,651.1953125,1.0931666425159827,0.20447321291870782,0.28831237683231203,0.803904969136998,0.03368543014463599,0.07413198055660263,1.4334585456369318,0.13654963301599685,0.19776986312521458,0.9933066018361543,0.03768254325440194,0.17171102611205444
9,1,1.2403044932398153,0.5575800088837737,0.2540379732371773,0.5048840623112318,0.7445098620954407,0.23594678203626637,15.968735694885254,651.7109375,1.0686510311848394,0.20033027129029635,0.2824241419781166,0.8042000717391219,0.033045540144111867,0.07328664721927546,1.4378801003492392,0.13646390262771035,0.1970734373219043,0.9933064565422032,0.0376826435587691,0.17171098974994584
