epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,0.007840838,0.088548504,0.0,0.0,0.0,49.53910446166992,2506.10546875,1.0761327273858656,0.0871074766382329,0.1555441551909146,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7993812447383253,0.028901836405003066,0.05127415552472807,0.0,0.0,0.0
1,1,0.007840838,0.088548504,0.0,0.0,0.0,50.48397397994995,2520.28515625,1.0761327273858656,0.0871074766382329,0.1555441551909146,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7993812447383253,0.028901836405003066,0.05127415552472807,0.0,0.0,0.0
2,1,0.007715437,0.08748833,0.001172309,0.0009558155,0.0076772333,51.35785746574402,2555.10546875,1.066777003527986,0.08731220985849017,0.15461319862146297,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7982742566817624,0.0287688319860618,0.05109875847460053,0.0,0.0,0.0
3,1,0.007715437,0.08748833,0.001172309,0.0009558155,0.0076772333,51.75092267990112,2555.30859375,1.066777003527986,0.08731220985849017,0.15461319862146297,0.44071843727190524,0.01428743010625142,0.03149333380632332,0.4145792660989473,0.012226415698777467,0.028494383661965054,0.7982742566817624,0.0287688319860618,0.05109875847460053,0.0,0.0,0.0
4,1,0.007707163,0.08741718,0.0012807584,0.0010531626,0.007915118,52.57131314277649,2555.8203125,1.0662434227479567,0.08732174898235617,0.1545363835806508,0.4406864092631872,0.014276292361083043,0.03148483898089674,0.414547520342815,0.01221709450340386,0.028485846489676586,0.7981062619217856,0.028765911867910776,0.05110912743360563,0.0,0.0,0.0
5,1,0.007707163,0.08741718,0.0012807584,0.0010531626,0.007915118,52.94926309585571,2555.8203125,1.0662434227479567,0.08732174898235617,0.1545363835806508,0.4406864092631872,0.014276292361083043,0.03148483898089674,0.414547520342815,0.01221709450340386,0.028485846489676586,0.7981062619217856,0.028765911867910776,0.05110912743360563,0.0,0.0,0.0
6,1,0.007629674,0.08663611,0.0038528417,0.0035673748,0.009812655,54.1282114982605,2555.8203125,1.0619582064164748,0.08730285252229958,0.15380792905913587,0.44032386837691545,0.014177350262182135,0.031397494059397305,0.41419337430728137,0.012135514996850779,0.02839853624675115,0.7963254796776174,0.028757364641155598,0.05126864579977397,0.0,0.0,0.0
7,1,0.007629674,0.08663611,0.0038528417,0.0035673748,0.009812655,54.508976221084595,2555.8203125,1.0619582064164748,0.08730285252229958,0.15380792905913587,0.44032386837691545,0.014177350262182135,0.031397494059397305,0.41419337430728137,0.012135514996850779,0.02839853624675115,0.7963254796776174,0.028757364641155598,0.05126864579977397,0.0,0.0,0.0
8,1,0.007583339,0.086277574,0.0038146228,0.0034887968,0.01062051,55.340851068496704,2555.8203125,1.0592162735475172,0.08729009201451808,0.15334713546093826,0.440134258609512,0.014174907642203744,0.03136545764647933,0.4140009523240524,0.012135615857621823,0.02836901649657014,0.795232189164236,0.028754717551595005,0.051374058227358306,0.0,0.0,0.0
9,1,0.007583339,0.086277574,0.0038146228,0.0034887968,0.01062051,55.72108030319214,2555.8203125,1.0592162735475172,0.08729009201451808,0.15334713546093826,0.440134258609512,0.014174907642203744,0.03136545764647933,0.4140009523240524,0.012135615857621823,0.02836901649657014,0.795232189164236,0.028754717551595005,0.051374058227358306,0.0,0.0,0.0
10,1,0.007566715,0.086133786,0.0038027249,0.0033982052,0.011030733,56.6992404460907,2555.8203125,1.058000159980165,0.0872821022632046,0.1531496177028848,0.44004046738312125,0.014170723354366581,0.03134813982587087,0.41389253589898817,0.012133881648073701,0.028354455480336254,0.7948430122777073,0.028757306154611386,0.051418072821648654,0.0,0.0,0.0
11,1,0.007566715,0.086133786,0.0038027249,0.0033982052,0.011030733,57.07815170288086,2555.8203125,1.058000159980165,0.0872821022632046,0.1531496177028848,0.44004046738312125,0.014170723354366581,0.03134813982587087,0.41389253589898817,0.012133881648073701,0.028354455480336254,0.7948430122777073,0.028757306154611386,0.051418072821648654,0.0,0.0,0.0
12,1,0.007552637,0.08599563,0.004380219,0.0036310125,0.011181123,58.013936281204224,2555.8203125,1.057248903037416,0.08725971562736914,0.1529958137143181,0.4398963751916449,0.014149308188405117,0.03133096918347183,0.41377879591767214,0.012120965087991138,0.028337397801272632,0.7946341399072854,0.028776641459389636,0.051474376005006775,0.0,0.0,0.0
13,1,0.007552637,0.08599563,0.004380219,0.0036310125,0.011181123,58.42103576660156,2555.8203125,1.057248903037416,0.08725971562736914,0.1529958137143181,0.4398963751916449,0.014149308188405117,0.03133096918347183,0.41377879591767214,0.012120965087991138,0.028337397801272632,0.7946341399072854,0.028776641459389636,0.051474376005006775,0.0,0.0,0.0
14,1,0.007534252,0.08582595,0.004676594,0.0040380587,0.011400938,59.38475227355957,2555.8203125,1.0564248688233961,0.08721793643207554,0.1528037185337931,0.439762793499292,0.01410666345718364,0.03129306787325709,0.41358666308099873,0.012097250643438369,0.028305024183073887,0.7944411912902443,0.028810522938814257,0.051556244731670496,0.0,0.0,0.0
15,1,0.007534252,0.08582595,0.004676594,0.0040380587,0.011400938,59.76570415496826,2555.8203125,1.0564248688233961,0.08721793643207554,0.1528037185337931,0.439762793499292,0.01410666345718364,0.03129306787325709,0.41358666308099873,0.012097250643438369,0.028305024183073887,0.7944411912902443,0.028810522938814257,0.051556244731670496,0.0,0.0,0.0
16,1,0.007474279,0.08529054,0.0055622035,0.005088117,0.011957218,60.85263442993164,2555.8203125,1.053274167300569,0.08706904540425253,0.15211768490188635,0.4388889423168871,0.013977725209687526,0.031140671043711765,0.41277756274087823,0.011994369569863784,0.028158449366483675,0.7939120491936056,0.028935964052468954,0.0518256096187217,0.0,0.0,0.0
17,1,0.007474279,0.08529054,0.0055622035,0.005088117,0.011957218,61.23110628128052,2555.8203125,1.053274167300569,0.08706904540425253,0.15211768490188635,0.4388889423168871,0.013977725209687526,0.031140671043711765,0.41277756274087823,0.011994369569863784,0.028158449366483675,0.7939120491936056,0.028935964052468954,0.0518256096187217,0.0,0.0,0.0
18,1,0.007442334,0.085042745,0.0059444364,0.005314637,0.012103012,62.187825202941895,2555.8203125,1.0514367945207228,0.0869906873786704,0.15171521391435344,0.43841038710136443,0.01392100075166845,0.031060446932185445,0.41231810033662714,0.011944337686178816,0.02808143486887263,0.7937226219072191,0.029017804658307635,0.05195392795646242,0.0,0.0,0.0
19,1,0.007442334,0.085042745,0.0059444364,0.005314637,0.012103012,62.56514000892639,2555.8203125,1.0514367945207228,0.0869906873786704,0.15171521391435344,0.43841038710136443,0.01392100075166845,0.031060446932185445,0.41231810033662714,0.011944337686178816,0.02808143486887263,0.7937226219072191,0.029017804658307635,0.05195392795646242,0.0,0.0,0.0
20,1,0.007417126,0.084822156,0.006393456,0.0057273377,0.012192148,63.562355518341064,2555.8203125,1.0500989682687392,0.08690425292728156,0.15139465588693218,0.4380196041490558,0.013846970440839474,0.030994873483975335,0.4119428802502016,0.011889973620688781,0.028015995457057723,0.7936437142051009,0.029094047792783077,0.052042074542310024,0.0,0.0,0.0
21,1,0.007417126,0.084822156,0.006393456,0.0057273377,0.012192148,63.95978808403015,2555.8203125,1.0500989682687392,0.08690425292728156,0.15139465588693218,0.4380196041490558,0.013846970440839474,0.030994873483975335,0.4119428802502016,0.011889973620688781,0.028015995457057723,0.7936437142051009,0.029094047792783077,0.052042074542310024,0.0,0.0,0.0
22,1,0.007381338,0.08457319,0.0068395343,0.0061768456,0.011990875,64.97102665901184,2555.8203125,1.0489670760644545,0.08675345173162205,0.15098044509676947,0.43733999827575415,0.013760780568792617,0.030898728030355618,0.4113382714555273,0.011830874180451952,0.027924303173612455,0.7937731312557308,0.029217006774557793,0.052115433206843684,0.0,0.0,0.0
23,1,0.007381338,0.08457319,0.0068395343,0.0061768456,0.011990875,65.36491894721985,2555.8203125,1.0489670760644545,0.08675345173162205,0.15098044509676947,0.43733999827575415,0.013760780568792617,0.030898728030355618,0.4113382714555273,0.011830874180451952,0.027924303173612455,0.7937731312557308,0.029217006774557793,0.052115433206843684,0.0,0.0,0.0
24,1,0.0073607587,0.08443124,0.006960679,0.0063194837,0.011989054,66.2277340888977,2555.8203125,1.0480917818559279,0.08666921380718177,0.15070889908464652,0.43697109698016673,0.013722834997093931,0.030851043694176173,0.4109838519931445,0.011804447356650542,0.02787966783891249,0.7938060805170981,0.02928341948028947,0.05213616772416597,0.0,0.0,0.0
25,1,0.0073607587,0.08443124,0.006960679,0.0063194837,0.011989054,66.6403660774231,2555.8203125,1.0480917818559279,0.08666921380718177,0.15070889908464652,0.43697109698016673,0.013722834997093931,0.030851043694176173,0.4109838519931445,0.011804447356650542,0.02787966783891249,0.7938060805170981,0.02928341948028947,0.05213616772416597,0.0,0.0,0.0
26,1,0.007327291,0.08413361,0.0069732782,0.006584393,0.012523824,67.63682675361633,2555.8203125,1.0458327658189406,0.08654268193892029,0.15017037030234345,0.43637195248786836,0.013656375058415658,0.030775731292530778,0.41048750129869677,0.011751548124214974,0.02780626187651773,0.7936998878575114,0.029376791741052323,0.05213816495289206,0.0,0.0,0.0
27,1,0.007327291,0.08413361,0.0069732782,0.006584393,0.012523824,68.04747295379639,2555.8203125,1.0458327658189406,0.08654268193892029,0.15017037030234345,0.43637195248786836,0.013656375058415658,0.030775731292530778,0.41048750129869677,0.011751548124214974,0.02780626187651773,0.7936998878575114,0.029376791741052323,0.05213816495289206,0.0,0.0,0.0
28,1,0.007309789,0.08406271,0.0069219265,0.0062597473,0.012496109,68.9464647769928,2556.15625,1.0451662070764174,0.08646303990953491,0.1499355585067365,0.43602845278267294,0.013612828261299205,0.03073311664743919,0.41012340818873144,0.011715984719427738,0.027763800293251355,0.7937045724100618,0.029429712695052405,0.05213864491034191,0.0,0.0,0.0
29,1,0.007309789,0.08406271,0.0069219265,0.0062597473,0.012496109,69.3401107788086,2556.15625,1.0451662070764174,0.08646303990953491,0.1499355585067365,0.43602845278267294,0.013612828261299205,0.03073311664743919,0.41012340818873144,0.011715984719427738,0.027763800293251355,0.7937045724100618,0.029429712695052405,0.05213864491034191,0.0,0.0,0.0
30,1,0.0072945342,0.08408987,0.006908227,0.006137189,0.011749047,70.30647039413452,2556.15625,1.045850945235597,0.08636129423560944,0.14984984227835432,0.4356904283228937,0.013568773777085147,0.030693539680705137,0.40986037708228923,0.011681132779742922,0.027724009047588767,0.7938653787567465,0.029484723432165474,0.052144003617537724,0.0,0.0,0.0
31,1,0.0072945342,0.08408987,0.006908227,0.006137189,0.011749047,70.69887471199036,2556.15625,1.045850945235597,0.08636129423560944,0.14984984227835432,0.4356904283228937,0.013568773777085147,0.030693539680705137,0.40986037708228923,0.011681132779742922,0.027724009047588767,0.7938653787567465,0.029484723432165474,0.052144003617537724,0.0,0.0,0.0
32,1,0.0072624492,0.083763,0.0066337544,0.005977154,0.012902551,71.78543519973755,2556.15625,1.0427151448739638,0.08626269414810415,0.14919759778337643,0.4350308074678901,0.013513590851237345,0.030629498922277187,0.4092893310577283,0.011644196860747353,0.02765866286420371,0.7931716849996893,0.029478488099267924,0.05202940145857432,0.0,0.0,0.0
33,1,0.0072624492,0.083763,0.0066337544,0.005977154,0.012902551,72.17576909065247,2556.15625,1.0427151448739638,0.08626269414810415,0.14919759778337643,0.4350308074678901,0.013513590851237345,0.030629498922277187,0.4092893310577283,0.011644196860747353,0.02765866286420371,0.7931716849996893,0.029478488099267924,0.05202940145857432,0.0,0.0,0.0
34,1,0.007213509,0.08353097,0.006575196,0.0057913223,0.012621907,73.12497758865356,2556.15625,1.0414379365457167,0.08600986693620469,0.14851496045798676,0.4339967423181656,0.013433671076077125,0.030530957641608514,0.4084100368187437,0.011585042781617799,0.02756717998995322,0.7924036879993228,0.02950577115976169,0.051891692174494596,0.0,0.0,0.0
35,1,0.007213509,0.08353097,0.006575196,0.0057913223,0.012621907,73.54685735702515,2556.15625,1.0414379365457167,0.08600986693620469,0.14851496045798676,0.4339967423181656,0.013433671076077125,0.030530957641608514,0.4084100368187437,0.011585042781617799,0.02756717998995322,0.7924036879993228,0.02950577115976169,0.051891692174494596,0.0,0.0,0.0
36,1,0.007191934,0.08353492,0.0061335494,0.0055190963,0.012073562,74.37907409667969,2556.15625,1.041853142501222,0.08586991934878774,0.14830420647626522,0.4335486718516472,0.013402902203570601,0.030495192225340834,0.40799277264034844,0.011546235285637925,0.02752216111830847,0.7921266628398744,0.029531076460237924,0.05184417804450444,0.0,0.0,0.0
37,1,0.007191934,0.08353492,0.0061335494,0.0055190963,0.012073562,74.7719976902008,2556.15625,1.041853142501222,0.08586991934878774,0.14830420647626522,0.4335486718516472,0.013402902203570601,0.030495192225340834,0.40799277264034844,0.011546235285637925,0.02752216111830847,0.7921266628398744,0.029531076460237924,0.05184417804450444,0.0,0.0,0.0
38,1,0.00718175,0.083527565,0.006085503,0.005328754,0.011809633,75.74910020828247,2556.15625,1.0420658118737807,0.08580574273355751,0.14820697341800362,0.4333067170407298,0.013378593506811053,0.03047066968740902,0.40781106136149264,0.011540116103679087,0.027509208845425407,0.7918765282227842,0.029536301013211513,0.05181618950063552,0.0,0.0,0.0
39,1,0.00718175,0.083527565,0.006085503,0.005328754,0.011809633,76.14361429214478,2556.15625,1.0420658118737807,0.08580574273355751,0.14820697341800362,0.4333067170407298,0.013378593506811053,0.03047066968740902,0.40781106136149264,0.011540116103679087,0.027509208845425407,0.7918765282227842,0.029536301013211513,0.05181618950063552,0.0,0.0,0.0
40,1,0.0071683107,0.083430886,0.005979077,0.0052957055,0.011991902,77.1453275680542,2556.15625,1.0413178331864943,0.08575354761198827,0.14798172430804632,0.43302847976495057,0.013364285215561067,0.03044693225811863,0.4075329703033576,0.011515550831247381,0.02748019393682294,0.7912386272072045,0.029518769755033515,0.05175701966229767,0.0,0.0,0.0
41,1,0.0071683107,0.083430886,0.005979077,0.0052957055,0.011991902,77.53497695922852,2556.15625,1.0413178331864943,0.08575354761198827,0.14798172430804632,0.43302847976495057,0.013364285215561067,0.03044693225811863,0.4075329703033576,0.011515550831247381,0.02748019393682294,0.7912386272072045,0.029518769755033515,0.05175701966229767,0.0,0.0,0.0
